item	article	labelAr
http://www.wikidata.org/entity/Q156591	https://ar.wikipedia.org/wiki/%D9%8A%D8%A7%D8%AF_%D9%81%D8%A7%D8%B4%D9%8A%D9%85	ياد فاشيم
http://www.wikidata.org/entity/Q1526131	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9_%D9%81%D9%8A_%D9%87%D9%88%D9%84%D9%86%D8%AF%D8%A7	المكتبة الوطنية في هولندا
http://www.wikidata.org/entity/Q461	https://ar.wikipedia.org/wiki/%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%A5%D9%86%D8%AA%D8%B1%D9%86%D8%AA	أرشيف الإنترنت
http://www.wikidata.org/entity/Q565	https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D9%85%D9%8A%D8%AF%D9%8A%D8%A7_%D9%83%D9%88%D9%85%D9%86%D8%B2	ويكيميديا كومنز
http://www.wikidata.org/entity/Q7109926	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86%D9%8A	الأرشيف العثماني
http://www.wikidata.org/entity/Q806186	https://ar.wikipedia.org/wiki/%D8%A8%D9%86%D9%83_%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84_%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A	بنك البرازيل المركزي
http://www.wikidata.org/entity/Q5531705	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D8%B9%D8%A7%D9%85_%D9%84%D9%84%D8%AD%D8%B1%D8%A8_%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9_%D8%A7%D9%84%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A9	الأرشيف العام للحرب الأهلية الإسبانية
http://www.wikidata.org/entity/Q689896	https://ar.wikipedia.org/wiki/%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%AF%D9%8A%D8%B1_%D8%B3%D8%A7%D9%86%D8%AA_%D8%BA%D8%A7%D9%84	مكتبة دير سانت غال
http://www.wikidata.org/entity/Q758610	https://ar.wikipedia.org/wiki/%D9%85%D8%B9%D9%87%D8%AF_%D9%87%D9%88%D9%84%D9%86%D8%AF%D8%A7_%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%A7%D9%84%D9%81%D9%86	معهد هولندا لتاريخ الفن
http://www.wikidata.org/entity/Q856640	https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1	متحف التاريخ المعاصر
http://www.wikidata.org/entity/Q974352	https://ar.wikipedia.org/wiki/%D9%85%D9%88%D9%86%D8%B2%D9%8A%D9%86%D8%AC%D8%B1_-_%D8%A3%D8%B1%D8%B4%D9%8A%D9%81	أرشيف مونزينجر
http://www.wikidata.org/entity/Q7562924	https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D8%B5%D9%88%D9%81%D9%8A%D8%A7_%D8%B3%D9%85%D9%8A%D8%AB	مجموعة صوفيا سميث
http://www.wikidata.org/entity/Q679141	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%B1%D8%B4%D9%8A%D9%81_%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D8%B1%D8%A7%D9%84%D9%8A_%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D9%8A	الأرشيف الفيدرالي السويسري
http://www.wikidata.org/entity/Q371908	https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D8%A8%D8%B1%D8%AA%D9%8A%D9%86%D8%A7_(%D9%81%D9%8A%D9%8A%D9%86%D8%A7)	ألبرتينا
http://www.wikidata.org/entity/Q648266	https://ar.wikipedia.org/wiki/%D9%88%D8%A7%D9%8A_%D8%A8%D8%A7%D9%83_%D9%85%D8%B4%D9%8A%D9%86	واي باك مشين
