item	article	labelAr
http://www.wikidata.org/entity/Q466256	https://ar.wikipedia.org/wiki/%D9%82%D8%A7%D8%B9%D8%AF%D8%A9_%D8%BA%D9%88%D8%A7%D8%B5%D8%A7%D8%AA_%D9%81%D8%A7%D9%84%D9%86%D8%AA%D9%8A%D9%86	قاعدة غواصات فالنتين
http://www.wikidata.org/entity/Q174527	https://ar.wikipedia.org/wiki/%D9%85%D8%B2%D8%A7%D8%B1_%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8	مزار الكتاب
http://www.wikidata.org/entity/Q177174	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%A3%D9%8A%D8%B3%D9%84%D9%86%D8%AF%D9%8A_%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%B6%D9%8A%D8%A8	المتحف الأيسلندي لدراسة القضيب
http://www.wikidata.org/entity/Q7341	https://ar.wikipedia.org/wiki/%D9%85%D8%B9%D8%B3%D9%83%D8%B1_%D8%A3%D9%88%D8%B4%D9%81%D9%8A%D8%AA%D8%B2_%D8%A8%D9%8A%D8%B1%D9%83%D9%8A%D9%86%D9%88	معسكر أوشفيتز بيركينو
http://www.wikidata.org/entity/Q6373	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A	المتحف البريطاني
http://www.wikidata.org/entity/Q367631	https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D9%83%D8%A7%D8%B1%D9%8A%D9%86_%D8%A8%D9%84%D9%83%D8%B3%D9%8A%D9%86	متحف كارين بلكسين
http://www.wikidata.org/entity/Q46242	https://ar.wikipedia.org/wiki/%D9%87%D9%88%D9%81%D8%A8%D9%88%D8%B1%D8%BA	هوفبورغ
http://www.wikidata.org/entity/Q212065	https://ar.wikipedia.org/wiki/%D9%82%D9%84%D8%B9%D8%A9_%D8%A5%D8%AF%D9%86%D8%A8%D8%B1%D8%A9	قلعة إدنبرة
http://www.wikidata.org/entity/Q542231	https://ar.wikipedia.org/wiki/%D9%83%D8%A7%D8%B2%D9%8A%D8%B1%D9%86_%D8%AF%D9%88%D8%B3%D9%8A%D9%86	كازيرن دوسين
http://www.wikidata.org/entity/Q136893	https://ar.wikipedia.org/wiki/%D9%82%D9%84%D8%B9%D8%A9_%D8%AA%D9%88%D8%B1%D9%83%D9%88	قلعة توركو
http://www.wikidata.org/entity/Q387292	https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D9%85%D9%88%D8%B5%D9%84	متحف الموصل
http://www.wikidata.org/entity/Q238990	https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D8%B0%D9%83%D8%B1%D9%89_%D8%A7%D9%84%D9%87%D9%88%D9%84%D9%88%D9%83%D9%88%D8%B3%D8%AA_%D8%A8%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9	متحف ذكرى الهولوكوست بالولايات المتحدة
http://www.wikidata.org/entity/Q638272	https://ar.wikipedia.org/wiki/%D9%86%D8%B5%D8%A8_%D8%AA%D8%B0%D9%83%D8%A7%D8%B1%D9%8A_%D9%88%D9%85%D8%AA%D8%AD%D9%81_%D8%A3%D9%88%D9%83%D9%84%D8%A7%D9%87%D9%88%D9%85%D8%A7_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A	نصب تذكاري ومتحف أوكلاهوما الوطني
