item	article	label
http://www.wikidata.org/entity/Q461	https://ca.wikipedia.org/wiki/Internet_Archive	Internet Archive
http://www.wikidata.org/entity/Q565	https://ca.wikipedia.org/wiki/Wikimedia_Commons	Wikimedia Commons
http://www.wikidata.org/entity/Q2916137	https://ca.wikipedia.org/wiki/Cinemateca_de_Jerusalem	Cinemateca de Jerusalem
http://www.wikidata.org/entity/Q1507284	https://ca.wikipedia.org/wiki/George_Eastman_House	George Eastman House
http://www.wikidata.org/entity/Q174274	https://ca.wikipedia.org/wiki/Cin%C3%A9math%C3%A8que_Fran%C3%A7aise	Cinémathèque Française
http://www.wikidata.org/entity/Q19874	https://ca.wikipedia.org/wiki/Museu_nacional_del_cinema	Museu nacional del cinema
http://www.wikidata.org/entity/Q685753	https://ca.wikipedia.org/wiki/Bundesarchiv	Arxiu Federal d'Alemanya
http://www.wikidata.org/entity/Q94200	https://ca.wikipedia.org/wiki/Arxiu_Joan_Maragall	Arxiu Joan Maragall
http://www.wikidata.org/entity/Q156591	https://ca.wikipedia.org/wiki/Iad_va-Xem	Yad va-Xem
http://www.wikidata.org/entity/Q536580	https://ca.wikipedia.org/wiki/Arxiu_Secret_del_Vatic%C3%A0	Arxiu Secret del Vaticà
http://www.wikidata.org/entity/Q392703	https://ca.wikipedia.org/wiki/Arxius_Nacionals_del_Regne_Unit	Arxius Nacionals del Regne Unit
http://www.wikidata.org/entity/Q11906820	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_Girona	Arxiu Municipal de Girona
http://www.wikidata.org/entity/Q11906824	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_Sant_Cugat_del_Vall%C3%A8s	Arxiu Municipal de Sant Cugat del Vallès
http://www.wikidata.org/entity/Q11906821	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_Barcelona	Arxiu Municipal de Barcelona
http://www.wikidata.org/entity/Q518155	https://ca.wikipedia.org/wiki/National_Archives_and_Records_Administration	Arxiu nacional i administració de documents dels Estats Units d'Amèrica
http://www.wikidata.org/entity/Q11906808	https://ca.wikipedia.org/wiki/Arxiu_Comarcal_del_Montsi%C3%A0	Arxiu Comarcal del Montsià
http://www.wikidata.org/entity/Q11906822	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_Lleida	Arxiu Municipal de Lleida
http://www.wikidata.org/entity/Q495822	https://ca.wikipedia.org/wiki/Arxiu_Nacional_de_la_Rep%C3%BAblica_de_Maced%C3%B2nia_del_Nord	Arxiu Nacional de Macedònia del Nord
http://www.wikidata.org/entity/Q17156946	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_l%27Hospitalet_de_Llobregat	Arxiu Municipal de l'Hospitalet de Llobregat
http://www.wikidata.org/entity/Q17156940	https://ca.wikipedia.org/wiki/Arxiu_Municipal_de_Castell%C3%B3_d%27Emp%C3%BAries	Arxiu Municipal de Castelló d'Empúries
