type	qid	name	reference	language	summary	notes
Museum	http://www.wikidata.org/entity/Q1954349        	Museu Etnològic de Muro	https://www.arabalears.cat/cultura/Govern-transferencia-Museu-Mallorca-Consell_0_1957004477.html	ca	El Govern avança la gestió de la transferència del Museu de Mallorca al Consell Les institucions reclamen a Madrid que confirmi les inversions estatals necessàries per a la rehabilitació del Museu Etnològic de Muro Les conselleries de Cultura del Govern i del Consell de Mallorca treballen en la transferència de recursos econòmics i de personal del Museu de Mallorca, que actualment gestiona el Govern de les Balears i que passaria a mans del Consell.	
Museum	http://www.wikidata.org/entity/Q1954349        	Museu Etnològic de Muro	http://www.caib.es/pidip2front/jsp/ca/fitxa-noticia/strongel-museu-etnologravegic-de-muro-disposaragrave-per-primera-vegada-en-la-seva-histograveria-drsquoun-tegravecnic-que-s39incorporaragrave-aquest-dillunsstrong-nbsp0	ca	Cal recordar que en el passat Consell de Govern de dia 17 de maig es va aprovar el Decret pel qual es desplega la Llei de museus de les Illes Balears, a proposta de la Conselleria de Cultura, Participació i Esports del Govern de les Illes Balears i que és vigent des del Dia Internacional dels Museus.	
Museum	http://www.wikidata.org/entity/Q1954349        	Museu Etnològic de Muro	https://www.europapress.es/illes-balears/catala-00231/noticia-museu-etnologic-muro-disposara-per-primera-vegada-seva-historia-dun-tecnic-sincorporara-aquest-dilluns-20190530171423.html	ca	Cal recordar que en el passat Consell de Govern de dia 17 de maig es va aprovar el Decret pel qual es desplega la Llei de museus de Balears, a proposta de la Conselleria de Cultura, Participació i Esports del Govern i que està vigent des del Dia Internacional dels Museus.	
Museum	http://www.wikidata.org/entity/Q1954349        	Museu Etnològic de Muro	https://www.revistacaramella.cat/el-museu-etnologic-de-muro-i-la-granja-desporles-mallorca/	ca	Dues experiències, diguem-ho ja, clarament divergents quant a concepció, desenvolupament i resultats: d’una banda, hi ha el Museu Etnològic de Muro, una instal·lació finançada amb diners públics que dormisqueja en la seua obsolescència decimonònica, tot esperant una injecció de fons i d’idees que el traslladen tot d’una a la nostra contemporaneïtat museogràfica, tal com s’ha esdevingut, per exemple, amb l’ara esplendorosa secció de Prehistòria i Història Antiga del mateix museu, ubicada a Ca la Gran Cristiana, en el nucli històric de Palma	very short
Archives	http://www.wikidata.org/entity/Q24938493       	Arxiu Històric Provincial d'Alacant	https://www.enciclopedia.cat/ec-historiog-158.xml	ca	Destaca la documentació de la Direcció Provincial d’Hisenda, amb 5.244 llibres i 6.307 lligalls, amb fons relatius a les desamortitzacions del s. XIX.	
Archives	http://www.wikidata.org/entity/Q24938493       	Arxiu Històric Provincial d'Alacant	https://www.elvallenc.cat/opinio/els-arxius-travessen-un-moment-critic/	ca	Els arxius travessen un moment crític Aquesta setmana llegint la premsa nacional, m’he trobat una notícia que m’ha recordat una moció presentada per la CUP el desembre de 2016 al ple de l’Ajuntament per a la millora de l’arxiu municipal de Valls.	opinion piece
Archives	http://www.wikidata.org/entity/Q24938493       	Arxiu Històric Provincial d'Alacant	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=24583	es	--	
Library	http://www.wikidata.org/entity/Q58769639	Biblioteca del Museu Marítim de Barcelona	https://www.mmb.cat/fons-i-colleccions/biblioteca/	ca	Matèries: Els volums de la biblioteca fan referència al mar, al seu entorn, a les activitats que genera –navegació, pesca, construcció naval, esports nàutics-, i la relació històrica entre els homes i la mar –comerç marítim, gent de mar, marina mercant, història naval, etc.	
Library	http://www.wikidata.org/entity/Q58769639	Biblioteca del Museu Marítim de Barcelona	http://bitacolammb.blogspot.com/p/faqs.html	ca	És una biblioteca especialitzada de museu la qual cosa significa que té diverses vessants: - Patrimonial ja que conté un ric fons antic de llibres i revistes que es poden considerar peces de museu.	
Library	http://www.wikidata.org/entity/Q58769639	Biblioteca del Museu Marítim de Barcelona	http://www.cobdc.net/document/noticies/visita-guiada-per-la-biblioteca-del-museu-maritim-de-barcelona/	es	El Museu Marítim de Barcelona és una institució amb més de 75 anys d’història, consagrada a la cultura marítima, que té la missió de conservar, estudiar i difondre una de les col·leccions de patrimoni marítim més importants de la Mediterrània.	
