item	article	label
http://www.wikidata.org/entity/Q212595	https://ca.wikipedia.org/wiki/Centre_de_Lectura_de_Reus	Centre de Lectura de Reus
http://www.wikidata.org/entity/Q815611	https://ca.wikipedia.org/wiki/Biblioteca_Ambrosiana	Biblioteca Ambrosiana
http://www.wikidata.org/entity/Q774570	https://ca.wikipedia.org/wiki/Biblioteca_Mazarina	Biblioteca Mazarina
http://www.wikidata.org/entity/Q856346	https://ca.wikipedia.org/wiki/Biblioburro	Biblioburro
http://www.wikidata.org/entity/Q688736	https://ca.wikipedia.org/wiki/Bibliotheca_Corvinniana	Bibliotheca Corvinniana
http://www.wikidata.org/entity/Q744406	https://ca.wikipedia.org/wiki/Biblioteca_de_Cels	Biblioteca de Cels
http://www.wikidata.org/entity/Q1133733	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_de_Let%C3%B2nia	Biblioteca Nacional de Letònia
http://www.wikidata.org/entity/Q94200	https://ca.wikipedia.org/wiki/Arxiu_Joan_Maragall	Arxiu Joan Maragall
http://www.wikidata.org/entity/Q33018	https://ca.wikipedia.org/wiki/Casa_de_la_Saviesa	Casa de la Saviesa
http://www.wikidata.org/entity/Q2976682	https://ca.wikipedia.org/wiki/Observatori_d%27Iso-Heikkil%C3%A4	Observatori d'Iso-Heikkilä
http://www.wikidata.org/entity/Q2946449	https://ca.wikipedia.org/wiki/Cercle_Solleric	Cercle Solleric
http://www.wikidata.org/entity/Q3087288	https://ca.wikipedia.org/wiki/Biblioteca_P%C3%BAblica_de_Filad%C3%A8lfia	Biblioteca Pública de Filadèlfia
http://www.wikidata.org/entity/Q3195954	https://ca.wikipedia.org/wiki/Khalduniya	Khalduniya
http://www.wikidata.org/entity/Q8247505	https://ca.wikipedia.org/wiki/Biblioteca_Massana	Biblioteca Massana
http://www.wikidata.org/entity/Q3776020	https://ca.wikipedia.org/wiki/Biblioteca_Braille_del_Jap%C3%B3	Biblioteca Braille del Japó
http://www.wikidata.org/entity/Q8247561	https://ca.wikipedia.org/wiki/Biblioteca_Valenciana_Nicolau_Primitiu	Biblioteca Valenciana
http://www.wikidata.org/entity/Q2901319	https://ca.wikipedia.org/wiki/Biblioteca_Virgilio_Barco	Biblioteca Virgilio Barco
http://www.wikidata.org/entity/Q1455447	https://ca.wikipedia.org/wiki/Biblioteca_d%27Adri%C3%A0	Biblioteca d'Adrià
http://www.wikidata.org/entity/Q2066117	https://ca.wikipedia.org/wiki/Pavell%C3%B3_Tianyi	Pavelló Tianyi
http://www.wikidata.org/entity/Q2201144	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_de_Tor%C3%AD	Biblioteca Nacional de Torí
http://www.wikidata.org/entity/Q1478423	https://ca.wikipedia.org/wiki/Pierpont_Morgan_Library	Pierpont Morgan Library
http://www.wikidata.org/entity/Q670848	https://ca.wikipedia.org/wiki/Centre_Internacional_de_Recerca_de_l%27Anarquisme	Centre Internacional de Recerca de l'Anarquisme
http://www.wikidata.org/entity/Q1113843	https://ca.wikipedia.org/wiki/Biblioteca_Malatestiana	Biblioteca Malatestiana
http://www.wikidata.org/entity/Q667858	https://ca.wikipedia.org/wiki/Biblioteca_Bodmeriana	Biblioteca Bodmeriana
http://www.wikidata.org/entity/Q630745	https://ca.wikipedia.org/wiki/Biblioteca_p%C3%BAblica_i_museu_de_Nassau	Biblioteca pública i museu de Nassau
http://www.wikidata.org/entity/Q630893	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_de_la_Rep%C3%BAblica_Txeca	Biblioteca Nacional de la República Txeca
http://www.wikidata.org/entity/Q630922	https://ca.wikipedia.org/wiki/Beit_Al_Quran	Beit Al Quran
http://www.wikidata.org/entity/Q625387	https://ca.wikipedia.org/wiki/Biblioteca_de_Jonava	Biblioteca de Jonava
http://www.wikidata.org/entity/Q979593	https://ca.wikipedia.org/wiki/Openclipart	Openclipart
http://www.wikidata.org/entity/Q11909322	https://ca.wikipedia.org/wiki/Biblioteca_de_la_Universitat_de_Barcelona	Biblioteca de la Universitat de Barcelona
http://www.wikidata.org/entity/Q20108905	https://ca.wikipedia.org/wiki/Servei_de_Biblioteques_del_Front	Servei de Biblioteques del Front
http://www.wikidata.org/entity/Q18615487	https://ca.wikipedia.org/wiki/Biblioteca_de_la_Universitat_de_Saragossa	Biblioteca de la Universitat de Saragossa
http://www.wikidata.org/entity/Q526170	https://ca.wikipedia.org/wiki/Biblioteca_Museu_V%C3%ADctor_Balaguer	Biblioteca Museu Víctor Balaguer
http://www.wikidata.org/entity/Q501851	https://ca.wikipedia.org/wiki/Bibliotheca_Alexandrina	Biblioteca Alexandrina
http://www.wikidata.org/entity/Q391976	https://ca.wikipedia.org/wiki/Biblioteca_Chester_Beatty	Biblioteca Chester Beatty
http://www.wikidata.org/entity/Q383931	https://ca.wikipedia.org/wiki/Biblioteca_Reial_de_B%C3%A8lgica	Biblioteca Reial de Bèlgica
http://www.wikidata.org/entity/Q856590	https://ca.wikipedia.org/wiki/Biblioteca_de_P%C3%A8rgam	Biblioteca de Pèrgam
http://www.wikidata.org/entity/Q1238147	https://ca.wikipedia.org/wiki/Biblioteca_Marsh	biblioteca Marsh
http://www.wikidata.org/entity/Q1232190	https://ca.wikipedia.org/wiki/Institut_d%27Egipte	Institut d'Egipte
http://www.wikidata.org/entity/Q619713	https://ca.wikipedia.org/wiki/Museu_memorial_i_biblioteca_Nehru	Museu memorial i biblioteca Nehru
http://www.wikidata.org/entity/Q856544	https://ca.wikipedia.org/wiki/Biblioteca_d%27Assurbanipal	Biblioteca d'Assurbanipal
http://www.wikidata.org/entity/Q12345669	https://ca.wikipedia.org/wiki/Biblioteca-Arxiu_Petro_Nuez	Biblioteca-Arxiu Petro Nuez
http://www.wikidata.org/entity/Q28708673	https://ca.wikipedia.org/wiki/Biblioteques_de_la_Universitat_Aut%C3%B2noma_de_Barcelona	Biblioteques de la Universitat Autònoma de Barcelona
http://www.wikidata.org/entity/Q1602700	https://ca.wikipedia.org/wiki/Cambra_Radcliffe	Càmara Radcliffe
http://www.wikidata.org/entity/Q2451336	https://ca.wikipedia.org/wiki/Biblioteca_digital_de_la_literatura_neerlandesa	Biblioteca digital de la literatura neerlandesa
http://www.wikidata.org/entity/Q2377891	https://ca.wikipedia.org/wiki/Biblioteca_Viipuri	Biblioteca Viipuri
http://www.wikidata.org/entity/Q2420849	https://ca.wikipedia.org/wiki/Hispanic_Society_of_America	Hispanic Society of America
http://www.wikidata.org/entity/Q188915	https://ca.wikipedia.org/wiki/Biblioteca_Nacional_d%27Israel	Biblioteca Nacional d'Israel
http://www.wikidata.org/entity/Q10709207	https://ca.wikipedia.org/wiki/Biblioteca_de_la_Universitat_d%27Ume%C3%A5	Biblioteca de la Universitat d'Umeå
http://www.wikidata.org/entity/Q781446	https://ca.wikipedia.org/wiki/Biblioteca_Universit%C3%A0ria_Alexandrina	Biblioteca Universitària Alexandrina
