item,labelEn,labelAr
http://www.wikidata.org/entity/Q58642167,Batoul Wellnitz,"جلبي, بتول"
http://www.wikidata.org/entity/Q61631215,Sophie Lewis,سوفي لويس
http://www.wikidata.org/entity/Q58726694,Jessica J. Hayward,جيسيكا جيه. هيوارد
http://www.wikidata.org/entity/Q73336365,Anna E. Ziegler,آنا إي. زيغلر
http://www.wikidata.org/entity/Q60055965,Weeam Hammoudeh,وئام حمودة
http://www.wikidata.org/entity/Q73426750,Eileen Kuttab,أيلين كتاب
http://www.wikidata.org/entity/Q70937959,Mary G. S. Best,ماري جي. إس. بيست
http://www.wikidata.org/entity/Q59434475,Margot Weiss,مارغوت فايس
http://www.wikidata.org/entity/Q73679016,Mira El-Far,ميره الفار
http://www.wikidata.org/entity/Q59239908,Annette Langevin,أنيت لانجفان
http://www.wikidata.org/entity/Q63436522,Lara Weiss,لارا فايس
http://www.wikidata.org/entity/Q66503677,Josephine Mason Milligan,جوزفين ماسون ميليغان
http://www.wikidata.org/entity/Q57515850,Tatjana Wilk,تاتيانا فيلك
http://www.wikidata.org/entity/Q57351636,Jasmine Jones,ياسمين جونز
http://www.wikidata.org/entity/Q56957864,Laura D. Lewis,لورا دي لويس
http://www.wikidata.org/entity/Q61969119,Jamie L. Jones,جيمي إل. جونز
http://www.wikidata.org/entity/Q63107936,Rebecca J. Jones,ريبيكا جيه. جونز
http://www.wikidata.org/entity/Q77494746,Irene S. Cullen,ايرين إس. كولين
http://www.wikidata.org/entity/Q57409496,Rebecca Richards,ريبيكا ريتشاردز
http://www.wikidata.org/entity/Q59628599,Louise Pearson Mitchell,لويز بيرسون ميتشيل
http://www.wikidata.org/entity/Q58344555,R. Lynne Jones,آر. لين جونز
http://www.wikidata.org/entity/Q57072377,Jacqueline Hicks,جاكلين هيكس
http://www.wikidata.org/entity/Q63146336,Nadezhda Kalugina,ناديجدا سيرغيفنا كالوغينا
http://www.wikidata.org/entity/Q75044195,Ilene Marckx,Ilene Marckx
http://www.wikidata.org/entity/Q58804715,Karen Bakker,كارين باكر
http://www.wikidata.org/entity/Q58884688,Nicole L. Abbott,نيكول إل. أبوت
http://www.wikidata.org/entity/Q58597100,Alice Stevenson,أليس ستيفنسون
http://www.wikidata.org/entity/Q64173741,Lena Åström,لينا أستروم
http://www.wikidata.org/entity/Q72654790,Karen R Adams,كارين آر آدامز
http://www.wikidata.org/entity/Q69492575,Lauren Kennedy,لورين كينيدي
http://www.wikidata.org/entity/Q56324174,María Fernández Pérez,ماريا فرنانديز بيريز
http://www.wikidata.org/entity/Q63203970,Sangita Kulathinal,سانجيتا كولاثينال
http://www.wikidata.org/entity/Q61992397,Alina Adams,ألينا آدامز
http://www.wikidata.org/entity/Q65962578,Lorraine Braun,لورين براون
http://www.wikidata.org/entity/Q64785042,Danielle Braun,دانييل براون
http://www.wikidata.org/entity/Q57034020,Susan Jones,سوزان جونز
http://www.wikidata.org/entity/Q57070001,Bernadette Richards,برناديت ريتشاردز
http://www.wikidata.org/entity/Q59201796,Ellen Adams,إلين آدامز
http://www.wikidata.org/entity/Q119287,Marie Kahle,ماري كاله
http://www.wikidata.org/entity/Q5818156,Maya Fernández,مايا فرنانديز
http://www.wikidata.org/entity/Q94375,Elisabeth Lukas,إليزابيث لوكاس
http://www.wikidata.org/entity/Q12111665,Zhanna Kolodub,زانا كولودوب
http://www.wikidata.org/entity/Q1686944,Jennifer Griffith,جينيفر غريفيث
http://www.wikidata.org/entity/Q1918950,Melanie Becker,ميلاني بيكر
http://www.wikidata.org/entity/Q2080342,Petra Stein,بترا شتاين
http://www.wikidata.org/entity/Q1231288,Michaela Huber,ميشيلا هوبر
http://www.wikidata.org/entity/Q11833213,Rachel Howard,راشيل هوارد
http://www.wikidata.org/entity/Q125565,Anna Pestalozzi,آنا بستالوتزي
http://www.wikidata.org/entity/Q6067462,Pauline Lesley Perry,بولين بيري
http://www.wikidata.org/entity/Q1379064,Eva-Maria Kurz,إيفا ماريا كورتس
http://www.wikidata.org/entity/Q12298015,Helen Ross,هيلين روس
http://www.wikidata.org/entity/Q1509285,Georgia Franzius,جورجيا فرانسيوز
http://www.wikidata.org/entity/Q8754172,Ester Horn,إستر هورن
http://www.wikidata.org/entity/Q7490175,Sharon Palmer,شارون بالمر
http://www.wikidata.org/entity/Q1659136,Ilse Jahn,إلسي يان
http://www.wikidata.org/entity/Q750526,Astrid Beckmann,أستريد بيكمان
http://www.wikidata.org/entity/Q6467861,Martina Fischer,مارتينا فيشر
http://www.wikidata.org/entity/Q4274788,Jenny Meyer,جيني ماير
http://www.wikidata.org/entity/Q5829685,Elizabeth Percy Sanders,إليزابيث ساندرز
http://www.wikidata.org/entity/Q5830093,Elvira Angela Gross,إلفيرا أنجيلا غروس
http://www.wikidata.org/entity/Q13231941,Susan J. Christie,سوزان كريستي
http://www.wikidata.org/entity/Q1593893,Heide Froning-Kehler,هيدي فرونينغ كلر
http://www.wikidata.org/entity/Q6042063,Nicole L. Meyer,نيكول ماير
http://www.wikidata.org/entity/Q1044205,Carola Barth,كارولا بارث
http://www.wikidata.org/entity/Q12300760,Aino Kann Rasmussen,أينو راسموسن
http://www.wikidata.org/entity/Q2941984,Catherine Lévy,كاثرين ليفي
http://www.wikidata.org/entity/Q4069791,Irina Arnold,ايرينا أرنولد
http://www.wikidata.org/entity/Q11356323,Mari Miura,ماري ميورا
http://www.wikidata.org/entity/Q126812,Barbara Kirchner,باربرا كيرشنر
http://www.wikidata.org/entity/Q6128237,Sigrid Liede,سيغريد ليدو
http://www.wikidata.org/entity/Q6161515,Victoria Anne Wassell Graham,فيكتوريا غراهام
http://www.wikidata.org/entity/Q1471972,Michaela Maurer,ميشيلا مورير
http://www.wikidata.org/entity/Q2501663,Ursula Hill,أورسولا هيل
http://www.wikidata.org/entity/Q12766755,Heidi Toffler,هايدي توفلر
http://www.wikidata.org/entity/Q566625,Annette Kolb,أنيت كولب
http://www.wikidata.org/entity/Q11653953,Miki Hasegawa,ميكي هاسيغاوا
http://www.wikidata.org/entity/Q1672484,Irene Becker,ايرين بيكر
http://www.wikidata.org/entity/Q1689316,Marion Meyer,ماريون ماير
http://www.wikidata.org/entity/Q3187983,Judith Cahen,جوديث كاهن
http://www.wikidata.org/entity/Q565490,Anne Kolb,آن كولب
http://www.wikidata.org/entity/Q4214013,Lena Karamova,لينا كاراموفا
http://www.wikidata.org/entity/Q12309742,Elisabeth Arnold,إليزابيث أرنولد
http://www.wikidata.org/entity/Q1895389,Margot Schmidt,مارغوت شميدت
http://www.wikidata.org/entity/Q1067281,Lotte Müller,شارلوت مولر
http://www.wikidata.org/entity/Q3978223,Susan D. Kern,سوزان دي. كيرن
http://www.wikidata.org/entity/Q2942091,Catherine Vidal,كاثرين فيدال
http://www.wikidata.org/entity/Q12259819,Isabel Fernández de Castro,إيزابيل فرنانديز دي كاسترو
http://www.wikidata.org/entity/Q1992876,Nina M. Davies,نينا ديفيز
http://www.wikidata.org/entity/Q9029513,Marta Fernández Currás,مارتا فرنانديز
http://www.wikidata.org/entity/Q12329036,Nina Smith,نينا سميث
http://www.wikidata.org/entity/Q88349,Jutta Voss,جوتا فوس
http://www.wikidata.org/entity/Q113539,Kirsten Müller-Vahl,كيرستن مولر
http://www.wikidata.org/entity/Q4947011,Eva Eriksson,إيفا أريكسون
http://www.wikidata.org/entity/Q3218697,Laura Knight-Jadczyk,لورا نايت جادتشيك
http://www.wikidata.org/entity/Q11719779,Janina Adamczyk,جانينا أدامشيك
http://www.wikidata.org/entity/Q122221,Juliette Ernst,جوليت إرنست
http://www.wikidata.org/entity/Q126684,Erna Stahl,إرنا شتال
http://www.wikidata.org/entity/Q6117368,Sally A. Meyer,سالي ماير
http://www.wikidata.org/entity/Q1163432,Daniela Kern,دانييلا كيرن
http://www.wikidata.org/entity/Q2414827,Florence Weber,فلورنسا ويبر
http://www.wikidata.org/entity/Q1246153,Dorothea Arnold,دوروثيا أرنولد
http://www.wikidata.org/entity/Q4245114,Olga Kuznetsova,أولغا كوزنيتسوف
http://www.wikidata.org/entity/Q8195592,Alicia Fernández,اليسيا فرنانديز
http://www.wikidata.org/entity/Q6358057,Kamilia Abdelfattah,كاميليا عبد الفتاح
http://www.wikidata.org/entity/Q3229421,Lena Sanders,لينا ساندرز
http://www.wikidata.org/entity/Q1077636,Chris Paul,كريس باول
