item	itemLabel
http://www.wikidata.org/entity/Q88715	Marianne Frostig
http://www.wikidata.org/entity/Q94375	Elisabeth Lukas
http://www.wikidata.org/entity/Q99773	Kerstin Feltz
http://www.wikidata.org/entity/Q108911	Emma Brunner-Traut
http://www.wikidata.org/entity/Q129825	Konul Bunyadzade
http://www.wikidata.org/entity/Q169273	Zdzisława Janowska
http://www.wikidata.org/entity/Q274855	Nina Dorliak
http://www.wikidata.org/entity/Q394546	Agnes Hundoegger
http://www.wikidata.org/entity/Q126812	Barbara Kirchner
http://www.wikidata.org/entity/Q105662	Dorothee Günther
http://www.wikidata.org/entity/Q109678	Elisabeth Käsemann
http://www.wikidata.org/entity/Q125227	Lučka Kajfež Bogataj
http://www.wikidata.org/entity/Q126532	Heide Berndt
http://www.wikidata.org/entity/Q128337	Paula Eerola
http://www.wikidata.org/entity/Q246001	Gita Dunie-Weizman
http://www.wikidata.org/entity/Q258233	Leslie Winkle
http://www.wikidata.org/entity/Q337405	Aleksandra Juozapėnaitė-Eesmaa
http://www.wikidata.org/entity/Q391282	Agathe Israel
http://www.wikidata.org/entity/Q87708	Adele Radnitzky-Mandlick
http://www.wikidata.org/entity/Q102093	Lena Neudauer
http://www.wikidata.org/entity/Q103766	Christine Strube
http://www.wikidata.org/entity/Q108929	Elke Blumenthal
http://www.wikidata.org/entity/Q112309	Katja Sturm-Schnabl
http://www.wikidata.org/entity/Q112660	Christa Meves
http://www.wikidata.org/entity/Q122221	Juliette Ernst
http://www.wikidata.org/entity/Q122611	Anna Hirzel-Langenhan
http://www.wikidata.org/entity/Q125836	Eva Lips
http://www.wikidata.org/entity/Q126684	Erna Stahl
http://www.wikidata.org/entity/Q197088	Zeynep Kocabiyik Hansen
http://www.wikidata.org/entity/Q215285	Else Pappenheim
http://www.wikidata.org/entity/Q251802	Léna Soler
http://www.wikidata.org/entity/Q273231	Ève Chiapello
http://www.wikidata.org/entity/Q291083	Éva Bónis
http://www.wikidata.org/entity/Q119287	Marie Kahle
http://www.wikidata.org/entity/Q88345	Ingrid Fischer-Schreiber
http://www.wikidata.org/entity/Q99293	Elif Cindik
http://www.wikidata.org/entity/Q105957	Brigitte Asdonk
http://www.wikidata.org/entity/Q110469	Friederike Pannewick
http://www.wikidata.org/entity/Q114348	Manuela Wiesler
http://www.wikidata.org/entity/Q119059	María Ángeles Mezquíriz Irujo
http://www.wikidata.org/entity/Q120007	Salomea Kempner
http://www.wikidata.org/entity/Q122932	Dominique Siassia
http://www.wikidata.org/entity/Q124650	Ingrid Kremling
http://www.wikidata.org/entity/Q125591	Claudia Bandixen
http://www.wikidata.org/entity/Q126083	Johanna Hey
http://www.wikidata.org/entity/Q183025	Dora Kacnelson
http://www.wikidata.org/entity/Q213226	Nacéra Benseddik
http://www.wikidata.org/entity/Q218299	Zofia Jasnota
http://www.wikidata.org/entity/Q271746	Gal Rasché
http://www.wikidata.org/entity/Q346156	Ada Lessing
http://www.wikidata.org/entity/Q354446	Adele Hartmann
http://www.wikidata.org/entity/Q394540	Agnes Heineken
http://www.wikidata.org/entity/Q110306	Käthe Bauer-Mengelberg
http://www.wikidata.org/entity/Q114593	Elfriede Feudel
http://www.wikidata.org/entity/Q120922	Margarethe Billerbeck
http://www.wikidata.org/entity/Q125565	Anna Pestalozzi
http://www.wikidata.org/entity/Q218324	Zofia Zukowska
http://www.wikidata.org/entity/Q220462	Zora Karaman
http://www.wikidata.org/entity/Q227130	Zoë Readhead
http://www.wikidata.org/entity/Q291302	Éveline Lot-Falck
http://www.wikidata.org/entity/Q354694	Adelheid Netoliczka-Baldershofen
http://www.wikidata.org/entity/Q394534	Agnes Habereder
http://www.wikidata.org/entity/Q98775	Otti Wilmanns
http://www.wikidata.org/entity/Q101806	Eva-Maria Voigt
http://www.wikidata.org/entity/Q107303	Sigrid Dušek
http://www.wikidata.org/entity/Q109710	Evgenia Rubinova
http://www.wikidata.org/entity/Q114149	Winifred Hyson
http://www.wikidata.org/entity/Q114809	Helga Köpstein
http://www.wikidata.org/entity/Q117989	Alice Holzhey-Kunz
http://www.wikidata.org/entity/Q121109	Gabrielle Kaufmann-Kohler
http://www.wikidata.org/entity/Q125717	Félicie Affolter
http://www.wikidata.org/entity/Q291107	Éva Garam
http://www.wikidata.org/entity/Q392925	Katarzyna Skórzyńska
http://www.wikidata.org/entity/Q88349	Jutta Voss
http://www.wikidata.org/entity/Q100522	Silvia Arroyo Camejo
http://www.wikidata.org/entity/Q101281	Almut Rößler
http://www.wikidata.org/entity/Q103503	Ulrike Egelhaaf-Gaiser
http://www.wikidata.org/entity/Q110323	Fairy von Lilienfeld
http://www.wikidata.org/entity/Q113539	Kirsten Müller-Vahl
http://www.wikidata.org/entity/Q122160	Andrea Strübind
http://www.wikidata.org/entity/Q126363	Hildegard Westphal
http://www.wikidata.org/entity/Q194771	Gisèle Sapiro
http://www.wikidata.org/entity/Q271234	Åsa Träff
http://www.wikidata.org/entity/Q354645	Adelheid Biesecker
http://www.wikidata.org/entity/Q377495	Adrienne Lezzi-Hafter
http://www.wikidata.org/entity/Q100619	Therese Fuhrer
http://www.wikidata.org/entity/Q114540	Rita Kurzmann-Leuchter
http://www.wikidata.org/entity/Q118034	Mirjam Tschopp
http://www.wikidata.org/entity/Q125600	Irena Brežná
http://www.wikidata.org/entity/Q354531	Adele von Gunesch
http://www.wikidata.org/entity/Q394637	Agnes Schwarzmaier
http://www.wikidata.org/entity/Q468103	Vasso Papandreou
http://www.wikidata.org/entity/Q482903	Ana Luisa Valdés
http://www.wikidata.org/entity/Q494218	Andrea Kumpe
http://www.wikidata.org/entity/Q494956	Andrea Rottloff
http://www.wikidata.org/entity/Q532577	Angela Fiedler
http://www.wikidata.org/entity/Q534232	Angelika Dierichs
http://www.wikidata.org/entity/Q539483	Salidat Sikenowna Kairbekowa
http://www.wikidata.org/entity/Q541263	Vida Stasiūnaitė
http://www.wikidata.org/entity/Q545974	Yakin Ertürk
http://www.wikidata.org/entity/Q566228	Annelise Vömel
http://www.wikidata.org/entity/Q404839	Aiha Zemp
http://www.wikidata.org/entity/Q566625	Annette Kolb
http://www.wikidata.org/entity/Q467437	Lilja Mósesdóttir
http://www.wikidata.org/entity/Q493498	Andrea Brackmann
http://www.wikidata.org/entity/Q494172	Andrea Jördens
http://www.wikidata.org/entity/Q513440	Dorte Andersen
http://www.wikidata.org/entity/Q534686	Angelika Zahrnt
http://www.wikidata.org/entity/Q565490	Anne Kolb
http://www.wikidata.org/entity/Q565816	Anne Steinmeier
http://www.wikidata.org/entity/Q565874	Anne Viola Siebert
http://www.wikidata.org/entity/Q566198	Anneliese Strenger
http://www.wikidata.org/entity/Q566583	Annette Haug
http://www.wikidata.org/entity/Q534304	Angelika Hartmann
http://www.wikidata.org/entity/Q473369	Liliana Heer
http://www.wikidata.org/entity/Q482898	Ana Lucia Frega
http://www.wikidata.org/entity/Q534198	Angelika Berlejung
