item	itemLabel	article
http://www.wikidata.org/entity/Q180383	Helen Clark	https://ar.wikipedia.org/wiki/%D9%87%D9%8A%D9%84%D9%8A%D9%86_%D9%83%D9%84%D8%A7%D8%B1%D9%83
http://www.wikidata.org/entity/Q185007	Rita Levi-Montalcini	https://ar.wikipedia.org/wiki/%D8%B1%D9%8A%D8%AA%D8%A7_%D9%84%D9%8A%D9%81%D9%8A_%D9%85%D9%88%D9%86%D8%AA%D8%A7%D9%84%D8%B4%D9%8A%D9%86%D9%8A
http://www.wikidata.org/entity/Q1111147	Umamah bint Zainab	https://ar.wikipedia.org/wiki/%D8%A3%D9%85%D8%A7%D9%85%D8%A9_%D8%A8%D9%86%D8%AA_%D8%A3%D8%A8%D9%8A_%D8%A7%D9%84%D8%B9%D8%A7%D8%B5_%D8%A8%D9%86_%D8%A7%D9%84%D8%B1%D8%A8%D9%8A%D8%B9
http://www.wikidata.org/entity/Q1112961	Habibah binte Ubayd-Allah	https://ar.wikipedia.org/wiki/%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9_%D8%A8%D9%86%D8%AA_%D8%A3%D9%85_%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9_%D8%A8%D9%86%D8%AA_%D8%A3%D8%A8%D9%8A_%D8%B3%D9%81%D9%8A%D8%A7%D9%86
http://www.wikidata.org/entity/Q1111208	Zaynab bint Ali	https://ar.wikipedia.org/wiki/%D8%B2%D9%8A%D9%86%D8%A8_%D8%A8%D9%86%D8%AA_%D8%B9%D9%84%D9%8A_%D8%A8%D9%86_%D8%A3%D8%A8%D9%8A_%D8%B7%D8%A7%D9%84%D8%A8
http://www.wikidata.org/entity/Q433337	Linda M. Godwin	https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%86%D8%AF%D8%A7_%D8%BA%D9%88%D8%AF%D9%88%D9%8A%D9%86
http://www.wikidata.org/entity/Q458991	Jennifer Miller	https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D9%86%D9%8A%D9%81%D8%B1_%D9%85%D9%8A%D9%84%D8%B1
http://www.wikidata.org/entity/Q454146	Amanda Simpson	https://ar.wikipedia.org/wiki/%D8%A3%D9%85%D8%A7%D9%86%D8%AF%D8%A7_%D8%B3%D9%8A%D9%85%D8%A8%D8%B3%D9%88%D9%86
http://www.wikidata.org/entity/Q459171	Judith Reisman	https://ar.wikipedia.org/wiki/%D8%AC%D9%88%D8%AF%D9%8A%D8%AB_%D8%B1%D9%8A%D8%B3%D9%85%D8%A7%D9%86
http://www.wikidata.org/entity/Q452116	Julia Robinson	https://ar.wikipedia.org/wiki/%D8%AC%D9%88%D9%84%D9%8A%D8%A7_%D8%B1%D9%88%D8%A8%D9%86%D8%B3%D9%88%D9%86
http://www.wikidata.org/entity/Q449487	Florence R. Sabin	https://ar.wikipedia.org/wiki/%D9%81%D9%84%D9%88%D8%B1%D9%86%D8%B3_%D8%B3%D8%A7%D8%A8%D9%8A%D9%86
http://www.wikidata.org/entity/Q441382	Christine Ladd-Franklin	https://ar.wikipedia.org/wiki/%D9%83%D8%B1%D9%8A%D8%B3%D8%AA%D9%8A%D9%86_%D9%84%D8%A7%D8%AF-%D9%81%D8%B1%D8%A7%D9%86%D9%83%D9%84%D9%8A%D9%86
http://www.wikidata.org/entity/Q200392	Maria Gaetana Agnesi	https://ar.wikipedia.org/wiki/%D9%85%D8%A7%D8%B1%D9%8A%D8%A7_%D8%BA%D8%A7%D9%8A%D8%AA%D8%A7%D9%86%D8%A7_%D8%A3%D9%86%D9%8A%D8%B2%D9%8A
http://www.wikidata.org/entity/Q469231	Dorothy Hansine Andersen	https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%88%D8%AB%D9%8A_%D9%87%D8%A7%D9%86%D8%B3%D9%8A%D9%86_%D8%A3%D9%86%D8%AF%D8%B1%D8%B3%D9%88%D9%86
http://www.wikidata.org/entity/Q463891	Virginia Apgar	https://ar.wikipedia.org/wiki/%D9%81%D9%8A%D8%B1%D8%AC%D9%8A%D9%86%D9%8A%D8%A7_%D8%A3%D8%A8%D8%BA%D8%A7%D8%B1
http://www.wikidata.org/entity/Q533306	Randall Forsberg	https://ar.wikipedia.org/wiki/%D8%B1%D8%A7%D9%86%D8%AF%D8%A7%D9%84_%D9%81%D9%88%D8%B1%D8%B3%D8%A8%D8%B1%D8%BA
http://www.wikidata.org/entity/Q529580	Linda Williams	https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D9%86%D8%AF%D8%A7_%D9%88%D9%84%D9%8A%D8%A7%D9%85%D8%B2_(%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0_%D8%AC%D8%A7%D9%85%D8%B9%D9%8A)
http://www.wikidata.org/entity/Q71633	Hanna Neumann	https://ar.wikipedia.org/wiki/%D9%87%D8%A7%D9%86%D8%A7_%D9%86%D9%8A%D9%88%D9%85%D8%A7%D9%86
http://www.wikidata.org/entity/Q268702	Mary Somerville	https://ar.wikipedia.org/wiki/%D9%85%D8%A7%D8%B1%D9%8A_%D8%B3%D9%85%D8%B1%D9%81%D9%8A%D9%84
http://www.wikidata.org/entity/Q214475	Ayaan Hirsi Ali	https://ar.wikipedia.org/wiki/%D8%A2%D9%8A%D8%A7%D9%86_%D9%87%D8%B1%D8%B3%D9%8A_%D8%B9%D9%84%D9%8A
http://www.wikidata.org/entity/Q7518	Christina Cruickshank Miller	https://ar.wikipedia.org/wiki/%D9%83%D8%B1%D9%8A%D8%B3%D8%AA%D9%8A%D9%86%D8%A7_%D9%85%D9%8A%D9%84%D8%B1
http://www.wikidata.org/entity/Q49034	Hedy Lamarr	https://ar.wikipedia.org/wiki/%D9%87%D9%8A%D8%AF%D9%8A_%D9%84%D8%A7%D9%85%D8%A7%D8%B1
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie	https://ar.wikipedia.org/wiki/%D8%A5%D9%8A%D8%B1%D9%8A%D9%86_%D8%AC%D9%88%D9%84%D9%8A%D9%88-%D9%83%D9%88%D8%B1%D9%8A
http://www.wikidata.org/entity/Q76346	Mileva Marić	https://ar.wikipedia.org/wiki/%D9%85%D9%8A%D9%84%D9%81%D8%A7_%D9%85%D8%A7%D8%B1%D9%8A%D9%83
http://www.wikidata.org/entity/Q106077	Lady Godiva	https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%AF%D9%8A_%D8%BA%D9%88%D8%AF%D9%8A%D9%81%D8%A7
