item	itemLabel	enarticle
http://www.wikidata.org/entity/Q90440	Renate Spitzner	https://en.wikipedia.org/wiki/Renate_Spitzner
http://www.wikidata.org/entity/Q90577	Christa Reinig	https://en.wikipedia.org/wiki/Christa_Reinig
http://www.wikidata.org/entity/Q92913	Anja Feldmann	https://en.wikipedia.org/wiki/Anja_Feldmann
http://www.wikidata.org/entity/Q96115	Eta Linnemann	https://en.wikipedia.org/wiki/Eta_Linnemann
http://www.wikidata.org/entity/Q105936	Gertrud Pätsch	https://en.wikipedia.org/wiki/Gertrud_P%C3%A4tsch
http://www.wikidata.org/entity/Q107972	Elisabeth Kalko	https://en.wikipedia.org/wiki/Elisabeth_Kalko
http://www.wikidata.org/entity/Q107054	Antonia Grunenberg	https://en.wikipedia.org/wiki/Antonia_Grunenberg
http://www.wikidata.org/entity/Q89532	Ingrid Haebler	https://en.wikipedia.org/wiki/Ingrid_Haebler
http://www.wikidata.org/entity/Q89853	Annie Francé-Harrar	https://en.wikipedia.org/wiki/Annie_Franc%C3%A9-Harrar
http://www.wikidata.org/entity/Q90460	Martha Kyrle	https://en.wikipedia.org/wiki/Martha_Kyrle
http://www.wikidata.org/entity/Q91977	Claudia-Maria Buch	https://en.wikipedia.org/wiki/Claudia_Maria_Buch
http://www.wikidata.org/entity/Q92810	Irit Dinur	https://en.wikipedia.org/wiki/Irit_Dinur
http://www.wikidata.org/entity/Q96994	Susanne Lautenbacher	https://en.wikipedia.org/wiki/Susanne_Lautenbacher
http://www.wikidata.org/entity/Q106545	Lucy Redler	https://en.wikipedia.org/wiki/Lucy_Redler
http://www.wikidata.org/entity/Q90064	Maria Teschler-Nicola	https://en.wikipedia.org/wiki/Maria_Teschler-Nicola
http://www.wikidata.org/entity/Q93891	Ilona Banga	https://en.wikipedia.org/wiki/Ilona_Banga
http://www.wikidata.org/entity/Q90690	Necla Kelek	https://en.wikipedia.org/wiki/Necla_Kelek
http://www.wikidata.org/entity/Q91181	Jutta Ditfurth	https://en.wikipedia.org/wiki/Jutta_Ditfurth
http://www.wikidata.org/entity/Q92701	Dawn Song	https://en.wikipedia.org/wiki/Dawn_Song
http://www.wikidata.org/entity/Q92916	Corinna Cortes	https://en.wikipedia.org/wiki/Corinna_Cortes
http://www.wikidata.org/entity/Q96999	Ilse Junkermann	https://en.wikipedia.org/wiki/Ilse_Junkermann
http://www.wikidata.org/entity/Q97232	Ruth Glass	https://en.wikipedia.org/wiki/Ruth_Glass
http://www.wikidata.org/entity/Q98087	Berta Scharrer	https://en.wikipedia.org/wiki/Berta_Scharrer
http://www.wikidata.org/entity/Q98007	Johanna Töpfer	https://en.wikipedia.org/wiki/Johanna_T%C3%B6pfer
