item	itemLabel	article
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie	https://ca.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
http://www.wikidata.org/entity/Q49034	Hedy Lamarr	https://ca.wikipedia.org/wiki/Hedy_Lamarr
http://www.wikidata.org/entity/Q1027328	Callista Roy	https://ca.wikipedia.org/wiki/Callista_Roy
http://www.wikidata.org/entity/Q180383	Helen Clark	https://ca.wikipedia.org/wiki/Helen_Clark
http://www.wikidata.org/entity/Q185007	Rita Levi-Montalcini	https://ca.wikipedia.org/wiki/Rita_Levi-Montalcini
http://www.wikidata.org/entity/Q76346	Mileva Marić	https://ca.wikipedia.org/wiki/Mileva_Mari%C4%87
http://www.wikidata.org/entity/Q106077	Lady Godiva	https://ca.wikipedia.org/wiki/Lady_Godiva
http://www.wikidata.org/entity/Q200392	Maria Gaetana Agnesi	https://ca.wikipedia.org/wiki/Maria_Gaetana_Agnesi
http://www.wikidata.org/entity/Q441382	Christine Ladd-Franklin	https://ca.wikipedia.org/wiki/Christine_Ladd-Franklin
http://www.wikidata.org/entity/Q449487	Florence R. Sabin	https://ca.wikipedia.org/wiki/Florence_R._Sabin
http://www.wikidata.org/entity/Q452116	Julia Robinson	https://ca.wikipedia.org/wiki/Julia_Robinson
http://www.wikidata.org/entity/Q463891	Virginia Apgar	https://ca.wikipedia.org/wiki/Virginia_Apgar
http://www.wikidata.org/entity/Q459171	Judith Reisman	https://ca.wikipedia.org/wiki/Judith_Reisman
http://www.wikidata.org/entity/Q214475	Ayaan Hirsi Ali	https://ca.wikipedia.org/wiki/Ayaan_Hirsi_Ali
http://www.wikidata.org/entity/Q268702	Mary Somerville	https://ca.wikipedia.org/wiki/Mary_Somerville
http://www.wikidata.org/entity/Q268912	Mary Ellen Weber	https://ca.wikipedia.org/wiki/Mary_Ellen_Weber
http://www.wikidata.org/entity/Q272256	Virginia Henderson	https://ca.wikipedia.org/wiki/Virginia_Henderson
http://www.wikidata.org/entity/Q4316384	Marcia Neugebauer	https://ca.wikipedia.org/wiki/Marcia_Neugebauer
http://www.wikidata.org/entity/Q5657499	Adelaida de la Calle	https://ca.wikipedia.org/wiki/Adelaida_de_la_Calle_Mart%C3%ADn
http://www.wikidata.org/entity/Q6004746	María Vallet Regí	https://ca.wikipedia.org/wiki/Mar%C3%ADa_Vallet_Reg%C3%AD
http://www.wikidata.org/entity/Q8963160	Fàtima Bosch i Tubert	https://ca.wikipedia.org/wiki/F%C3%A0tima_Bosch_i_Tubert
http://www.wikidata.org/entity/Q4766262	Ann Baynard	https://ca.wikipedia.org/wiki/Anne_Baynard
http://www.wikidata.org/entity/Q4793645	Joycelyn Elders	https://ca.wikipedia.org/wiki/Joycelyn_Elders
http://www.wikidata.org/entity/Q10268357	Dorath Pinto Uchôa	https://ca.wikipedia.org/wiki/Dorath_Pinto_Uch%C3%B4a
http://www.wikidata.org/entity/Q11037464	Josefina Castellví	https://ca.wikipedia.org/wiki/Josefina_Castellv%C3%AD_i_Piulachs
http://www.wikidata.org/entity/Q11096665	Li Minhua	https://ca.wikipedia.org/wiki/Li_Minhua
http://www.wikidata.org/entity/Q5044426	Carol Kuhlthau	https://ca.wikipedia.org/wiki/Carol_Kuhlthau
http://www.wikidata.org/entity/Q12745176	Eliza Lucas	https://ca.wikipedia.org/wiki/Eliza_Lucas_Pinckney
http://www.wikidata.org/entity/Q7041616	Nitza Margarita Cintron	https://ca.wikipedia.org/wiki/Nitza_Margarita_Cintr%C3%B3n
http://www.wikidata.org/entity/Q11964294	Cécile La Grenade	https://ca.wikipedia.org/wiki/C%C3%A9cile_La_Grenade
http://www.wikidata.org/entity/Q11946286	Rosa Maria Miró i Roig	https://ca.wikipedia.org/wiki/Rosa_Maria_Mir%C3%B3_i_Roig
http://www.wikidata.org/entity/Q11935056	Mara Dierssen Sotos	https://ca.wikipedia.org/wiki/Mara_Dierssen_Sotos
http://www.wikidata.org/entity/Q12260770	Josefa Molera	https://ca.wikipedia.org/wiki/Josefa_Molera_Mayo
http://www.wikidata.org/entity/Q12242407	Mariam al-Asturlabi	https://ca.wikipedia.org/wiki/Mariam_al-Asturlabi
http://www.wikidata.org/entity/Q16914097	Rachel Makinson	https://ca.wikipedia.org/wiki/Rachel_Makinson
http://www.wikidata.org/entity/Q16930347	Sonja Ashauer	https://ca.wikipedia.org/wiki/Sonja_Ashauer
http://www.wikidata.org/entity/Q16326177	Rosa Rossi	https://ca.wikipedia.org/wiki/Rosa_Rossi
http://www.wikidata.org/entity/Q19664066	Lydia Roberts	https://ca.wikipedia.org/wiki/Lydia_J._Roberts
http://www.wikidata.org/entity/Q19766158	Concepción Llaguno Marchena	https://ca.wikipedia.org/wiki/Concepci%C3%B3n_Llaguno_Marchena
http://www.wikidata.org/entity/Q19766129	Montserrat Calleja Gómez	https://ca.wikipedia.org/wiki/Montse_Calleja
http://www.wikidata.org/entity/Q19766371	Ana María Pascual-Leone	https://ca.wikipedia.org/wiki/Ana_Maria_Pascual-Leone
http://www.wikidata.org/entity/Q19766150	Manuela Juárez Iglesias	https://ca.wikipedia.org/wiki/Manuela_Ju%C3%A1rez_Iglesias
http://www.wikidata.org/entity/Q19766154	Pilar López Sancho	https://ca.wikipedia.org/wiki/Pilar_L%C3%B3pez_Sancho
http://www.wikidata.org/entity/Q19766181	Gabriella Morreale de Castro	https://ca.wikipedia.org/wiki/Gabriela_Morreale_de_Castro
http://www.wikidata.org/entity/Q19766208	Teresa Rodrigo Anoro	https://ca.wikipedia.org/wiki/Teresa_Rodrigo_Anoro
http://www.wikidata.org/entity/Q19766160	Susana Marcos Celestino	https://ca.wikipedia.org/wiki/Susana_Marcos_Celestino
http://www.wikidata.org/entity/Q17478003	María Ángeles Durán	https://ca.wikipedia.org/wiki/Mar%C3%ADa_%C3%81ngeles_Dur%C3%A1n_Heras
http://www.wikidata.org/entity/Q17517274	Sally Norton	https://ca.wikipedia.org/wiki/Sally_Norton
http://www.wikidata.org/entity/Q17517002	Linda Beilharz	https://ca.wikipedia.org/wiki/Linda_Beilharz
http://www.wikidata.org/entity/Q17516972	Nerilie Abram	https://ca.wikipedia.org/wiki/Nerilie_Abram
http://www.wikidata.org/entity/Q18166733	Jennifer Stow	https://ca.wikipedia.org/wiki/Jennifer_Stow
http://www.wikidata.org/entity/Q19895130	Kellyn George	https://ca.wikipedia.org/wiki/Kellyn_George
http://www.wikidata.org/entity/Q20902268	Tamāra Zitcere	https://ca.wikipedia.org/wiki/Tamara_Zitcere
http://www.wikidata.org/entity/Q20995158	María Cascales Angosto	https://ca.wikipedia.org/wiki/Mar%C3%ADa_Cascales_Angosto
http://www.wikidata.org/entity/Q21062251	Kathryn North	https://ca.wikipedia.org/wiki/Kathryn_North
http://www.wikidata.org/entity/Q21598065	Nadezhda A. Agaltsova	https://ca.wikipedia.org/wiki/Nadejda_Agaltsova
http://www.wikidata.org/entity/Q21598084	Idelisa Bonnelly	https://ca.wikipedia.org/wiki/Idelisa_Bonnelly
http://www.wikidata.org/entity/Q28745752	Elena García Armada	https://ca.wikipedia.org/wiki/Elena_Garc%C3%ADa_Armada
http://www.wikidata.org/entity/Q25345237	Jenny Baeseman	https://ca.wikipedia.org/wiki/Jenny_Baeseman
http://www.wikidata.org/entity/Q21496212	Antonia López González	https://ca.wikipedia.org/wiki/Antonia_L%C3%B3pez_Gonz%C3%A1lez
http://www.wikidata.org/entity/Q25999469	Margaret Bradshaw	https://ca.wikipedia.org/wiki/Margaret_Bradshaw
http://www.wikidata.org/entity/Q23707241	Inés Moisset	https://ca.wikipedia.org/wiki/In%C3%A9s_Moisset
http://www.wikidata.org/entity/Q26211066	Corina Brussaard	https://ca.wikipedia.org/wiki/Corina_Brussaard
http://www.wikidata.org/entity/Q24042294	Q24042294	https://ca.wikipedia.org/wiki/Mavi_S%C3%A1nchez-Vives
http://www.wikidata.org/entity/Q24593723	Robin Bell	https://ca.wikipedia.org/wiki/Robin_Elizabeth_Bell
http://www.wikidata.org/entity/Q27909585	Selina Todd	https://ca.wikipedia.org/wiki/Selina_Todd
http://www.wikidata.org/entity/Q28381389	Piedad de la Cierva	https://ca.wikipedia.org/wiki/Piedad_de_la_Cierva
http://www.wikidata.org/entity/Q55603634	Alice McLaren	https://ca.wikipedia.org/wiki/Alice_McLaren
http://www.wikidata.org/entity/Q28560647	Cynthia Westcott	https://ca.wikipedia.org/wiki/Cynthia_Westcott
http://www.wikidata.org/entity/Q57766505	Belén Franch Gras	https://ca.wikipedia.org/wiki/Bel%C3%A9n_Franch_Gras
http://www.wikidata.org/entity/Q59418309	Maria Pilar Gil	https://ca.wikipedia.org/wiki/M._Pilar_Gil
http://www.wikidata.org/entity/Q56616449	Barbara Bachmann	https://ca.wikipedia.org/wiki/Barbara_Bachmann
http://www.wikidata.org/entity/Q56760738	Cristina Fillat i Fonts	https://ca.wikipedia.org/wiki/Cristina_Fillat_i_Fonts
http://www.wikidata.org/entity/Q48187947	Nisreen El-Hashemite	https://ca.wikipedia.org/wiki/Nisreen_El-Hashemite
http://www.wikidata.org/entity/Q53488524	Susan Margulies	https://ca.wikipedia.org/wiki/Susan_Margulies
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie	https://ca.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
http://www.wikidata.org/entity/Q49034	Hedy Lamarr	https://ca.wikipedia.org/wiki/Hedy_Lamarr
http://www.wikidata.org/entity/Q61641333	Michelle Amos	https://ca.wikipedia.org/wiki/Michelle_Amos
http://www.wikidata.org/entity/Q76346	Mileva Marić	https://ca.wikipedia.org/wiki/Mileva_Mari%C4%87
http://www.wikidata.org/entity/Q106077	Lady Godiva	https://ca.wikipedia.org/wiki/Lady_Godiva
http://www.wikidata.org/entity/Q29571	Jeanne Villepreux-Power	https://ca.wikipedia.org/wiki/Jeanne_Villepreux-Power
http://www.wikidata.org/entity/Q441382	Christine Ladd-Franklin	https://ca.wikipedia.org/wiki/Christine_Ladd-Franklin
