item	itemLabel	article
http://www.wikidata.org/entity/Q7504	Irène Joliot-Curie	https://de.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie
http://www.wikidata.org/entity/Q55175	Sheila Widnall	https://de.wikipedia.org/wiki/Sheila_Widnall
http://www.wikidata.org/entity/Q49034	Hedy Lamarr	https://de.wikipedia.org/wiki/Hedy_Lamarr
http://www.wikidata.org/entity/Q55837	Renata Reisfeld	https://de.wikipedia.org/wiki/Renata_Reisfeld
http://www.wikidata.org/entity/Q71633	Hanna Neumann	https://de.wikipedia.org/wiki/Hanna_Neumann
http://www.wikidata.org/entity/Q98087	Berta Scharrer	https://de.wikipedia.org/wiki/Berta_Scharrer
http://www.wikidata.org/entity/Q76346	Mileva Marić	https://de.wikipedia.org/wiki/Mileva_Mari%C4%87
http://www.wikidata.org/entity/Q106077	Lady Godiva	https://de.wikipedia.org/wiki/Lady_Godiva
http://www.wikidata.org/entity/Q1027328	Callista Roy	https://de.wikipedia.org/wiki/Callista_Roy
http://www.wikidata.org/entity/Q1111208	Zaynab bint Ali	https://de.wikipedia.org/wiki/Zainab_bint_Ali
http://www.wikidata.org/entity/Q200392	Maria Gaetana Agnesi	https://de.wikipedia.org/wiki/Maria_Gaetana_Agnesi
http://www.wikidata.org/entity/Q180383	Helen Clark	https://de.wikipedia.org/wiki/Helen_Clark
http://www.wikidata.org/entity/Q185007	Rita Levi-Montalcini	https://de.wikipedia.org/wiki/Rita_Levi-Montalcini
http://www.wikidata.org/entity/Q214475	Ayaan Hirsi Ali	https://de.wikipedia.org/wiki/Ayaan_Hirsi_Ali
http://www.wikidata.org/entity/Q268702	Mary Somerville	https://de.wikipedia.org/wiki/Mary_Somerville
http://www.wikidata.org/entity/Q433337	Linda M. Godwin	https://de.wikipedia.org/wiki/Linda_M._Godwin
http://www.wikidata.org/entity/Q441382	Christine Ladd-Franklin	https://de.wikipedia.org/wiki/Christine_Ladd-Franklin
http://www.wikidata.org/entity/Q458991	Jennifer Miller	https://de.wikipedia.org/wiki/Jennifer_Miller
http://www.wikidata.org/entity/Q454146	Amanda Simpson	https://de.wikipedia.org/wiki/Amanda_Simpson
http://www.wikidata.org/entity/Q435188	Dorothea Orem	https://de.wikipedia.org/wiki/Dorothea_Orem
http://www.wikidata.org/entity/Q449487	Florence R. Sabin	https://de.wikipedia.org/wiki/Florence_Rena_Sabin
http://www.wikidata.org/entity/Q452116	Julia Robinson	https://de.wikipedia.org/wiki/Julia_Robinson
http://www.wikidata.org/entity/Q469231	Dorothy Hansine Andersen	https://de.wikipedia.org/wiki/Dorothy_Hansine_Andersen
http://www.wikidata.org/entity/Q463891	Virginia Apgar	https://de.wikipedia.org/wiki/Virginia_Apgar
http://www.wikidata.org/entity/Q539513	Thida Thavornseth	https://de.wikipedia.org/wiki/Thida_Thavornseth
http://www.wikidata.org/entity/Q459171	Judith Reisman	https://de.wikipedia.org/wiki/Judith_A._Reisman
http://www.wikidata.org/entity/Q533306	Randall Forsberg	https://de.wikipedia.org/wiki/Randall_Forsberg
http://www.wikidata.org/entity/Q529580	Linda Williams	https://de.wikipedia.org/wiki/Linda_Williams_(Filmwissenschaftlerin)
http://www.wikidata.org/entity/Q268912	Mary Ellen Weber	https://de.wikipedia.org/wiki/Mary_Ellen_Weber
http://www.wikidata.org/entity/Q274827	Dorothy Reed Mendenhall	https://de.wikipedia.org/wiki/Dorothy_Reed_Mendenhall
http://www.wikidata.org/entity/Q272256	Virginia Henderson	https://de.wikipedia.org/wiki/Virginia_Henderson
http://www.wikidata.org/entity/Q4094384	Marina Borovskaya	https://de.wikipedia.org/wiki/Marina_Alexandrowna_Borowskaja
