type	qid	name	reference	language	summary	notes
Museum	http://www.wikidata.org/entity/Q535586	متحف أسوان	https://yallabook.com/guide/show.php?nid=1016&%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D8%B3%D9%88%D8%A7%D9%86	ar	في الأصل كان المتحف فيلا للمهندس وليام ولكوكس حيث كان يعمل كبير مهندسي خزان اسوان ، لذلك وجب إقامته بجوار عمله ، واثناء الحفر لبناء السد العالي تم العثور على العديد من الآثار و الحفريات بالإضافة للآثار التي اكتشفت في جزيرة الفنتين الزاخرة بالحفريات الأثرية التي لم تكتشف بعد لذلك تم تحويل هذه الفيلا لمتحف يضم أهم آثار جزيرة الفنتين و بعض الآثار النوبية كتماثيل لأمنحتب الثالث و بعض الآلهة المصرية االقديمة و ابرزهم خنوم على هيئة كبش و بعض مومياوات لكباش رمزاً لخنوم ،بعض اللوحات الجنائزية ، و احواض من حجر الشست ترجع لعصور ماقبل التاريخ و بعض الأسلحة و الأواني الفخارية ، يتكون المتحف من ساحة عرض كبيرة و مخزن تحت الأرض لتخزين الآثار التي لا تعرض او تحتاج لترميم و صيانة ، و ساحة العرض تتكون من 4 قاعات قاعتين علي جهة اليمين و قاعتين على جهة اليسار .  و تم افتتاح ملحق للمتحف عام 1993م يتكون من 3 قاعات عرص تحوي 670 قطعة اثرية متنوعة بدايةً من عصر الدولة القديمة مروراً بالحقبة القبطية حتى العصر الروماني .	
Library	http://www.wikidata.org/entity/Q948882	مكتبة البرازيل الوطنية	https://www.jamhara.com/post/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9	ar	مكتبة البرازيل الوطنية تم تأسيس مكتبة البرازيل الوطنية في مدينة "ريو دى جانيرو" عام 1837 على يد مجموعة من 43 مهاجرا برتغاليا أرادوا تعزيز الثقافة في أنحاء المجتمع البرتغالي الذي يعيش في البرازيل، لكن البناء لم يبدأ فعليا حتى عام 1880 من قبل المهندس المعماري البرتغالي "رفائيل دا سيلفا"، و هي مبنية على طراز "نيو مانويل"، مع تصميم خارجي من الحجر الجيري مزين بتماثيل 4 مستكشفين برتغاليين.	
Library	http://www.wikidata.org/entity/Q948882	مكتبة البرازيل الوطنية	https://www.albayan.ae/books/library-visit/2014-11-07-1.2238264	ar	داخل ميدان «سينلانديا» الموجود في قلب مدينة ريو دي جانيرو البرازيلية، تلك المنطقة التي تضم عدداً من المعالم، من بينها مسرح البلدية والمتحف الوطني للفنون الجميلة، يشع نور حضاري من مبنى المكتبة الوطنية البرازيلية التي تعد أكبر مكتبة في أميركا اللاتينية والسابعة في العالم.. وتستحق بكل جدارة أن تكون مستودع التراث الوثائقي والبيبلوغرافي للبرازيل، بسبب غناها بالمجموعات القيمة التي تصل إلى نحو تسعة ملايين مادة، وبسبب كونها أيضاً أول من نظم صفوفاً في علــم المكتبة في أميركا اللاتينية. تاريخ المكتبة بدأ تاريخ المكتبة الوطنية عام 1755، وذلك عندما تعرضت مدينة ليسبون البرتغالية لزلزال عنيف، حيث كانت المكتبة الملكية تعتبر من أهم المكتبات في أوروبا في ذلك الوقت، وكانت الخسارة غير القابلة للتعويض للبرتغاليين، الدافع إلى نقل العديد من محتوياتها إلى البرازيل. تم جلب المجموعة على ثلاث مراحل: الأولى كانت في عام 1810، إضافة إلى اثنتين في عام 1811، وفي بداية الأمر تمت استضافة المكتبة، ضمن الغرف العلوية لمشفى «ثيرد أوردر أوف كارمل»، الموجودة إلى جانب القصر الإمبراطوري، وذلك طبقاً لميثاق أبرم عام 1810.	
Library	http://www.wikidata.org/entity/Q948882	مكتبة البرازيل الوطنية	https://www.atlasobscura.com/places/biblioteca-nacional-do-brasil	en	The Biblioteca Nacional do Brasil in Rio de Janeiro is the largest library in Latin America and the seventh largest in the world. But were it not for a devastating earthquake and a Napoleonic invasion, it may never have reached such heights.	
Museum	http://www.wikidata.org/entity/Q7201222	مركز القبة السماوية العلمي	https://www.bibalex.org/psc/ar/home/index.aspx	ar	يهدف مركز القبة السماوية العلمي إلى تحفيز وتنمية وعي واهتمام واستيعاب الجمهور للعلوم من خلال مجموعة من البرامج والمعارض التعليمية الشيقة المنتقاة، كما يطمح أن يكون مركز إقليمي ونموذج وطني لتوصيل العلوم. ويقوم المركز بتبسيط وتوصيل مبادئ العلوم لشريحة كبيرة من الجمهور، مسلطًّا الضوء على طلاب المدارس والجامعات.	
Museum	http://www.wikidata.org/entity/Q7201222	مركز القبة السماوية العلمي	https://www.bibalex.org/ar/center/details/planetariumsciencecenterpsc	ar	 وقد قام بتأسيس واستضافة مكتب سكرتارية رابطة المراكز العلمية بشمال إفريقيا والشرق الأوسط NAMES ٢٠٠٦.  ويعمل المركز على تحقيق أهدافه من خلال تشجيع الناس على حب العلم والتخيل والابتكار من خلال مجموعة متنوعة من الأنشطة تُقدم ضمن ثلاثة أقسام، كل منها يتناول العلم بطريقة مختلفة وغير تقليدية نسبيًّا بالنسبة للمجتمع المصري: القبة السماوية: كعضو في جمعية القباب الفلكية العالمية (IPS)، تعتبر القبة السماوية مرفقًا متقدمًا يستخدم أحدث ما توصلت إليه التكنولوجيا في مجال العرض.	
Library	http://www.wikidata.org/entity/Q58973805	مؤسسة الموافقة	https://www.alwatanvoice.com/arabic/news/2019/10/31/1287660.html	ar	رام الله - دنيا الوطن تحت شعار "نحو صياغة مشروع وطني لحماية حقوق الأقليات الدينية ومواجهة ظاهرة العداء للجاليات المسلمة"، تنظم الجمعية المغربية للحريات الدينية، بشراكة مع جمعية "أمور" للثقافة الأمازيغية، وجمعية انطلاقة، وبتنسيق مع الكنيسة الكاثوليكية والكنيسة الإنجيلية بالرباط، الدورة الثالثة للمؤتمر الوطني للأقليات الدينية طيلة يوم 29 نوفمبر 2019 بمقر مؤسسة "الموافقـة" المسيحية للربـاط ابتداء من الساعة التاسعة صباحا.	
Library	http://www.wikidata.org/entity/Q58973805	مؤسسة الموافقة	https://www.almowafaqa.com/	fr	L’Institut a été créé par les diverses Églises chrétiennes du Maroc pour répondre à leurs besoins de formation et de dialogue œcuménique, interreligieux et interculturel au Maroc, au service de toutes les Églises chrétiennes des pays de la sous-région dans lesquels l’Islam est majoritaire (Sénégal, Mali, etc.	
Library	http://www.wikidata.org/entity/Q8247531	المكتبة الوطنية الصومالية	https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AA%D9%82%D8%A7%D8%B1%D9%8A%D8%B1/%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D9%88%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D9%88%D8%B9%D8%A7%D8%A1-%D8%AB%D9%82%D8%A7%D9%81%D9%8A-%D9%8A%D9%86%D9%81%D8%B6-%D8%BA%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1/1127392	ar	على مدار 27 عاما، ظلت أبواب المكتبة الوطنية في الصومال مغلقة، بعد أن تضررت أجزاء كبيرة منها نتيجة الحروب الأهلية التي شهدتها البلاد، بعد انهيار الحكومة المركزية عام 1991. وإثر ذلك، نُهبت كامل محتوياتها من كتب ووثائق وخرائط، وأصبحت مجرد أطلال قديمة ومبانٍ آيلة للسقوط، في حين تحولت أجزاء كبيرة منها إلى منازل لإيواء النازحين من الحرب.	
Library	http://www.wikidata.org/entity/Q8247531	المكتبة الوطنية الصومالية	https://hafpost.net/articles-and-analyzes/7797/	ar	أرقى المكتبات الأفريقية.. المكتبة الوطنية الصومالية عنوان التاريخ والثقافة ولدت فكرة إنشاء المكتبة الوطنية الصومالية في عام 1975م، وافتتحت بشكل رسمي في عام 1986م، وأصبحت مهوى قلوب الصوماليين، إذ كانوا يأتون من كل بقعة من الوطن، إلى مبنى المكتبة للاستفادة منها.	
Library	http://www.wikidata.org/entity/Q8247531	المكتبة الوطنية الصومالية	http://arab-afli.org/main/post_details.php?alias=%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D8%B5%D9%88%D9%85%D8%A7%D9%84%D9%8A%D8%A9_%E2%80%93_%D9%85%D9%86%D8%A8%D8%B9_%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9_%D9%88%D8%AA%D8%B1%D8%A7%D8%AB_%D8%AD%D8%B6%D8%A7%D8%B1%D9%8A	ar	إذا كان حديثنا له صلة بالمكتبات ولاسيما فيما يتعلق بالمكتبة الوطنية في بلاد الصومال على هامش افتتاحها واستئناف عملها من جديد لتأخذ دورها الريادي لا مانع من أن نقدِّم هنا عرضا بسيطا في أنواع المكتبات وسماتها المتميزة، ومن هنا وباقتصار شديد فإن المكتبات في العالم عبر العصور التاريخية المختلفة تنقسم إلى قسمين: المكتبة العامة والمكتبة الخاصة.	
Museum	http://www.wikidata.org/entity/Q57395129	متحف آثار الوادي الجديد	http://www.antiquities.gov.eg/DefaultAr/Museum/Pages/MuseumDetails.aspx?MusCode=29	ar	 يقع متحف الوادى الجديد في مدينة الخارجة عاصمة محافظة الوادى الجديد، ويضم  مجموعات متنوعة من الآثار التي عثر عليها في المناطق الأثرية بالوادي الجديد، والتي تحكي تاريخ الحضارة المصرية بداية من عصور ما قبل التاريخ حتى العصر الحديث. ومن المقتنيات القيمة بالمتحف مجموعة من القطع الأثرية التي ترجع إلى عصور ما قبل التاريخ، وتشمل عدداً من الأواني الحجرية، والسكاكين، والمكاشط الظرانية. كما يشمل العرض المتحفي مجموعة نادرة من التماثيل واللوحات الجنائزية التي تخص حكام الواحات، ومجموعة أخرى من تماثيل الآلهة. 	
