item	labelAr
http://www.wikidata.org/entity/Q1949998	قاعة مشاهير رياضة المحركات في أمريكا
http://www.wikidata.org/entity/Q630893	المكتبة التقنية الوطنية في براغ
http://www.wikidata.org/entity/Q860581	وكالة صور الفن والثقافة والتاريخ
http://www.wikidata.org/entity/Q1068063	معرض كندا الوطني
http://www.wikidata.org/entity/Q639791	متحف ويتني للفن الأمريكي
http://www.wikidata.org/entity/Q1125633	مكتبة البرلمان
http://www.wikidata.org/entity/Q1133733	مكتبة لاتفيا الوطنية
http://www.wikidata.org/entity/Q1967614	معرض الصور الوطني (الولايات المتحدة)
http://www.wikidata.org/entity/Q1948674	متحف غرونينغن
http://www.wikidata.org/entity/Q616272	مكتبة شنغهاي
http://www.wikidata.org/entity/Q1117704	متحف إنديانابوليس للفنون
http://www.wikidata.org/entity/Q3137182	متحف الفن في بونس
http://www.wikidata.org/entity/Q2451336	المكتبة الرقمية للأدب االهولندي
http://www.wikidata.org/entity/Q1134646	متحف الفنون المعاصرة في لوس أنجلوس
http://www.wikidata.org/entity/Q2310268	مكتبة أبحاث متحف ريجكس
http://www.wikidata.org/entity/Q631375	المكتبة الوطنية في زغرب
http://www.wikidata.org/entity/Q1192305	متحف الفن الأمريكي في سميثسونيان
http://www.wikidata.org/entity/Q1435690	مؤسسة سيني
http://www.wikidata.org/entity/Q174274	سينماتيك الفرنسية
http://www.wikidata.org/entity/Q2984686	فهرس  حزمة بايثون
http://www.wikidata.org/entity/Q13218762	المتحف المفتوح بالكرنك
http://www.wikidata.org/entity/Q841507	شبكة الأرشيف الشامل بيرل
http://www.wikidata.org/entity/Q1464509	المتحف الوطني في فيكتوريا
http://www.wikidata.org/entity/Q627423	المكتبة الجامعية والوطنية في أيسلندا
http://www.wikidata.org/entity/Q4823962	المركز الأسترالي للصور المتحركة
http://www.wikidata.org/entity/Q61084335	مركز البحوث الإقليمي
http://www.wikidata.org/entity/Q679075	متحف الفن والتاريخ
http://www.wikidata.org/entity/Q705557	معرض فنون جنوب أستراليا
http://www.wikidata.org/entity/Q163804	متحف ستادل
http://www.wikidata.org/entity/Q808462	مؤسسة بارنز
http://www.wikidata.org/entity/Q674427	متحف سلفادور دالي
http://www.wikidata.org/entity/Q700222	معرض برلين
http://www.wikidata.org/entity/Q1435689	مؤسسة ماخت
http://www.wikidata.org/entity/Q1568434	معرض فنون جامعة يل
http://www.wikidata.org/entity/Q7319839	متحف ريزان هاس
http://www.wikidata.org/entity/Q2365880	متحف الفنون الجميلة، غنت
http://www.wikidata.org/entity/Q5408662	مكتبة الكونغرس الوطني للأرجنتين
http://www.wikidata.org/entity/Q4314822	المكتبة الوطنية لأحمد-زكي الفيدي
http://www.wikidata.org/entity/Q1754105	متحف الفن الإستوني
http://www.wikidata.org/entity/Q812285	مجموعات رسم ولاية بافاريا
http://www.wikidata.org/entity/Q861660	قاعة مشاهير كتاب الأغاني
http://www.wikidata.org/entity/Q1509201	عضو قاعة مشاهير مجلة أخبار أفلام البالغين
http://www.wikidata.org/entity/Q1786577	المتحف الوطني للفنون المرئية
http://www.wikidata.org/entity/Q1700481	معهد مينيابوليس للفنون
http://www.wikidata.org/entity/Q3757722	ريتشي أودي متحف الفن الحديث
http://www.wikidata.org/entity/Q176251	متحف تيسين-بورنيميسزا
http://www.wikidata.org/entity/Q1641836	متحف مقاطعة لوس أنجلوس للفنون
http://www.wikidata.org/entity/Q3694624	متحف التراثي لوك ورثا
http://www.wikidata.org/entity/Q303139	المعرض النمساوي في بلفيدير
http://www.wikidata.org/entity/Q488005	عضوية الشرف في قاعة الطيران الوطنية
http://www.wikidata.org/entity/Q865736	متحف برمنغهام للفن
http://www.wikidata.org/entity/Q5161648	عضوة قاعة مشاهير النساء في كونيتيكت
http://www.wikidata.org/entity/Q495590	أرض الحب
http://www.wikidata.org/entity/Q2711480	متحف أوغستينيانز
http://www.wikidata.org/entity/Q2864562	مركز تجديد الفنون
http://www.wikidata.org/entity/Q5728032	مكتبة الكونغرس الوطني التشيلي
http://www.wikidata.org/entity/Q1956214	متحف القريه ببوخاريست
http://www.wikidata.org/entity/Q11795583	قاعة مشاهير نساء أوهايو
http://www.wikidata.org/entity/Q6837811	جائزة صالة الشرف النسائية في ولاية ميشيغان
http://www.wikidata.org/entity/Q21043512	عضوية ردهة مشاهير الباحثين الألمان
http://www.wikidata.org/entity/Q1760539	متحف سانت لويس للفنون
http://www.wikidata.org/entity/Q913672	متحف سان فرانسيسكو للفن الحديث
http://www.wikidata.org/entity/Q857276	متحف الفن الحديث بمدينة باريس
http://www.wikidata.org/entity/Q866498	معرض البلاتين
http://www.wikidata.org/entity/Q7708211	جائزة قاعة مشاهير النساء التكسسيات
http://www.wikidata.org/entity/Q6055547	عضو قاعة مشاهير الإنترنت
http://www.wikidata.org/entity/Q5587398	قاعة مشاهير موسيقى الإنجيل
http://www.wikidata.org/entity/Q36460247	عضوية قاعة شرف ويل إيسنر
http://www.wikidata.org/entity/Q8035502	القاعة العالمية لمشاهير الشطرنج
http://www.wikidata.org/entity/Q22021768	عضوية قاعة الشرف النسائية في أركنساس
http://www.wikidata.org/entity/Q430682	تيت
http://www.wikidata.org/entity/Q1043967	متحف كارنيغي للفنون
http://www.wikidata.org/entity/Q5727935	مكتبة الأندلس الافتراضية
http://www.wikidata.org/entity/Q924335	متحف بلدية أمستردام
http://www.wikidata.org/entity/Q114418	قاعة مشاهير اليهود الرياضيين العالمية
http://www.wikidata.org/entity/Q15133246	مكتبة جامعة ماجديبورغ
http://www.wikidata.org/entity/Q316242	جاليري ولاية شتوتغارت
http://www.wikidata.org/entity/Q4819492	معرض أوكلاند للفنون
http://www.wikidata.org/entity/Q5194236	مبادرة المكتبة المسمارية الرقمية
http://www.wikidata.org/entity/Q7335252	متحف ريو غراندي دو سول للفنون
http://www.wikidata.org/entity/Q3868354	المتحف المصري بميلان
http://www.wikidata.org/entity/Q7233488	المكتبة الرقمية لما بعد الإصلاح
http://www.wikidata.org/entity/Q7971387	مكتبة جامعة واسيدا
http://www.wikidata.org/entity/Q1282060	إيكونبيز
http://www.wikidata.org/entity/Q24993774	مكتبة أكرينغتون
http://www.wikidata.org/entity/Q28226147	إنيغما
http://www.wikidata.org/entity/Q5572991	معرض غلين فيفيان للفن
http://www.wikidata.org/entity/Q758657	متحف أوكلاند التذكاري للحرب
http://www.wikidata.org/entity/Q782783	النصب الأسترالي التذكاري للحرب
http://www.wikidata.org/entity/Q3348664	منظمة المحيط
http://www.wikidata.org/entity/Q6352575	مركز ييل للفن البريطاني
http://www.wikidata.org/entity/Q902624	المتحف الوطني لعلوم الصحة والطب
http://www.wikidata.org/entity/Q159483	معسكر الإبادة رافنيسبروك
http://www.wikidata.org/entity/Q15275733	مكتبة الشعر الاسكتلندية
http://www.wikidata.org/entity/Q10927199	مكتبة جامعة تايوان الوطنية
http://www.wikidata.org/entity/Q2777905	أكاديمية.إدو
http://www.wikidata.org/entity/Q856473	مكتبة عامة فيتن
http://www.wikidata.org/entity/Q7181635	فيلبيبرز
http://www.wikidata.org/entity/Q18088607	شبكة الموسيقى
http://www.wikidata.org/entity/Q2256277	أرشيف الصوت الوطني السويسري
http://www.wikidata.org/entity/Q11284309	قاعدة بيانات المصطلحات التشيكية في علم المكتبات والمعلومات
http://www.wikidata.org/entity/Q30324366	مركز الموارد البوذية التبتية
http://www.wikidata.org/entity/Q57705758	عنكبوت
http://www.wikidata.org/entity/Q75848338	الأرشيف الرقمي لجمعية الفيلم الأمريكي
http://www.wikidata.org/entity/Q867925	المكتبة الصحية بين الجامعات
http://www.wikidata.org/entity/Q5412157	مركز بوب ميد أوروبا
http://www.wikidata.org/entity/Q4785478	خدمة بيانات الآثار
http://www.wikidata.org/entity/Q3144107	فرط المقالات على الإنترنت
http://www.wikidata.org/entity/Q7550801	شبكة أبحاث العلوم الاجتماعية
http://www.wikidata.org/entity/Q22661177	زينودو
http://www.wikidata.org/entity/Q19835482	بيوركسيف
http://www.wikidata.org/entity/Q2715061	سايتسيركس
http://www.wikidata.org/entity/Q5972440	إنزبير-هيب
http://www.wikidata.org/entity/Q1226166	متحف ومعهد المسرح المجري
http://www.wikidata.org/entity/Q22908627	الباحث الدلالي
http://www.wikidata.org/entity/Q142667	قاعدة بيانات تصنيف الناقل
http://www.wikidata.org/entity/Q17013516	فيغشير
http://www.wikidata.org/entity/Q3912134	محفوظات مدينة روتردام
http://www.wikidata.org/entity/Q18691678	إطار العلوم المفتوحة
http://www.wikidata.org/entity/Q28738489	الوزارة الاتحادية للتعاون الاقتصادي والتنمية، مكتبة
http://www.wikidata.org/entity/Q3519804	مورد معلومات أرابيدوبسيس
http://www.wikidata.org/entity/Q27996491	التجارب المفتوحة
http://www.wikidata.org/entity/Q8063109	قاعدة بيانات الزنك ليس تجاريا
http://www.wikidata.org/entity/Q901755	بنك الجين
http://www.wikidata.org/entity/Q1632115	منتحف ستوكهولم في القرون الوسطى
http://www.wikidata.org/entity/Q62606821	جينيتكس هوم ريفرنس
http://www.wikidata.org/entity/Q4848721	بيت الحكمة
http://www.wikidata.org/entity/Q1968666	متحف إريتريا الوطني
http://www.wikidata.org/entity/Q809892	قاعة مشاهير ومتحف كرة القاعدة الوطنية
http://www.wikidata.org/entity/Q3719374	مكتبة هوتون
http://www.wikidata.org/entity/Q16665606	المتحف العمومي الوطني سيرتا
http://www.wikidata.org/entity/Q304418	قاعة الرياضة الاسكتلندية للمشاهير
http://www.wikidata.org/entity/Q4201615	معهد المعلومات العلمية عن العلوم الاجتماعية
http://www.wikidata.org/entity/Q2684769	المتحف الوطني
http://www.wikidata.org/entity/Q915603	متحف نيوزيلندا مجموعة تي بابا
http://www.wikidata.org/entity/Q6439196	مكتبة كروغر
http://www.wikidata.org/entity/Q1955752	المتحف الإثنوغرافي في جنيف
http://www.wikidata.org/entity/Q2719230	متحف بيوك ساراي ميوزاييك
http://www.wikidata.org/entity/Q14708020	مكتبة ويلسون للمجموعات الخاصة
http://www.wikidata.org/entity/Q50731518	قاعدة بيانات مكتبة معهد هولندا لتاريخ الفن
http://www.wikidata.org/entity/Q1213600	الأرشيف الوطني السمعي البصري للمجر
http://www.wikidata.org/entity/Q11881923	المعهد الوطني السمعي البصري
http://www.wikidata.org/entity/Q1665109	المعهد السمعي البصري الوطني
http://www.wikidata.org/entity/Q1624722	هولكهام هول
http://www.wikidata.org/entity/Q2973248	سينما كيبيك
http://www.wikidata.org/entity/Q61604271	مكتبة ألكسندر تيرنبول
http://www.wikidata.org/entity/Q54782544	مكتبة المتحف الوطني الكندي
http://www.wikidata.org/entity/Q58973805	مؤسسة الموافقة
http://www.wikidata.org/entity/Q948882	مكتبة البرازيل الوطنية
http://www.wikidata.org/entity/Q631808	مكتبة أروبا الوطنية
