item,label
http://www.wikidata.org/entity/Q367840,Biblioteca de la universitat de Sydney
http://www.wikidata.org/entity/Q616272,Biblioteca de Xangai
http://www.wikidata.org/entity/Q638395,Biblioteca de la Universitat de Leiden
http://www.wikidata.org/entity/Q377579,Museu d'Art de Baltimore
http://www.wikidata.org/entity/Q59435,Museu Leopold
http://www.wikidata.org/entity/Q1362629,Museu Nacional d'Art Occidental
http://www.wikidata.org/entity/Q878754,Museu Santa Anna
http://www.wikidata.org/entity/Q318289,Fundació Abegg
http://www.wikidata.org/entity/Q1368166,Museu d'art de San Diego
http://www.wikidata.org/entity/Q428765,Museu de Belles Arts de Nancy
http://www.wikidata.org/entity/Q865736,Museu d'Art de Birmingham
http://www.wikidata.org/entity/Q1439912,Museu Pius-Clementí
http://www.wikidata.org/entity/Q1400558,Biblioteca Huntington
http://www.wikidata.org/entity/Q1421440,Museu Fitzwilliam
http://www.wikidata.org/entity/Q461277,Museu Palau d'Art de Düsseldorf
http://www.wikidata.org/entity/Q1572452,museu Cognacq-Jay
http://www.wikidata.org/entity/Q1416890,Museu de Belles Arts de San Francisco
http://www.wikidata.org/entity/Q856483,Biblioteca de la Fundació Friedrich Ebert
http://www.wikidata.org/entity/Q1756399,Museu d'Art Contemporani de Teheran
http://www.wikidata.org/entity/Q3639582,Biblioteca Europea d'Informació i Cultura
http://www.wikidata.org/entity/Q616676,Palau Fortuny
http://www.wikidata.org/entity/Q1760539,Museu d'Art de Saint Louis
http://www.wikidata.org/entity/Q653002,Col·leccions Nacionals de Dresden
http://www.wikidata.org/entity/Q569079,museu de Belles Arts de Caen
http://www.wikidata.org/entity/Q1895953,Museu Nacional d'Art Modern
http://www.wikidata.org/entity/Q666331,Fundació Col·lecció E. G. Bührle
http://www.wikidata.org/entity/Q3867648,Museu Stieglitz d'Arts Aplicades
http://www.wikidata.org/entity/Q671384,Museu Nacional de Dinamarca
http://www.wikidata.org/entity/Q1546378,Observatori de Collurania-Teramo
http://www.wikidata.org/entity/Q3330214,Museu de Pont-Aven
http://www.wikidata.org/entity/Q3330222,museu de belles arts de Valenciennes
http://www.wikidata.org/entity/Q1976985,Museu Nelson-Atkins
http://www.wikidata.org/entity/Q3330205,museu de Belles Arts de La Rochelle
http://www.wikidata.org/entity/Q2034636,Observatori Astronòmic de Capodimonte
http://www.wikidata.org/entity/Q627423,Biblioteca Nacional i Universitària d'Islàndia
http://www.wikidata.org/entity/Q683389,Biblioteca de la Universitat de Belgrad
http://www.wikidata.org/entity/Q677561,Museu Hammer
http://www.wikidata.org/entity/Q1068063,Museu de Belles Arts del Canadà
http://www.wikidata.org/entity/Q872896,Biblioteca de la Universitat de Leipzig
http://www.wikidata.org/entity/Q5408662,Biblioteca del Congrés Nacional d'Argentina
http://www.wikidata.org/entity/Q1967876,Biblioteca Nacional de la República Txeca
http://www.wikidata.org/entity/Q2947745,Museu d'Orsanmichele
http://www.wikidata.org/entity/Q3075489,Fundació Louis Vuitton
http://www.wikidata.org/entity/Q1183941,Museu d'Art de Delaware
http://www.wikidata.org/entity/Q5728032,Biblioteca del Congrés Nacional de Xile
http://www.wikidata.org/entity/Q1132918,"Museu Nacional d'Art, Arquitectura i Disseny"
http://www.wikidata.org/entity/Q1167467,Galeria Nacional d'Atenes
http://www.wikidata.org/entity/Q1117704,Museu d'Art d'Indianàpolis
http://www.wikidata.org/entity/Q2997830,Museu d'Art Philbrook
http://www.wikidata.org/entity/Q700959,Museu Wallraf-Richartz
http://www.wikidata.org/entity/Q2977589,Museu d'Art Ohara
http://www.wikidata.org/entity/Q3094617,Galeriat Morava de Brno
http://www.wikidata.org/entity/Q3663151,Fundació Yannick i Ben Jakober
http://www.wikidata.org/entity/Q44724678,Hall of Fame del futbol italià
http://www.wikidata.org/entity/Q745866,Museu d'Art de Dallas
http://www.wikidata.org/entity/Q751172,Museu Andy Warhol
http://www.wikidata.org/entity/Q845468,Museu d'Art Modern i Contemporani
http://www.wikidata.org/entity/Q2496316,Biblioteca de la Universitat de Kassel
http://www.wikidata.org/entity/Q812285,Col·leccions de pintura de l'estat de Baviera
http://www.wikidata.org/entity/Q6352575,Centre d'Art Britànic de Yale
http://www.wikidata.org/entity/Q2057876,Acadèmia Argentina de Lletres
http://www.wikidata.org/entity/Q2310268,Biblioteca de Recerca del Rijksmuseum
http://www.wikidata.org/entity/Q2007919,Biblioteca i Museu Presidencial de John F. Kennedy
http://www.wikidata.org/entity/Q5114675,museu Chrysler
http://www.wikidata.org/entity/Q81180,Premi Grammy del Saló de la Fama
http://www.wikidata.org/entity/Q6940507,Museu Nacional de San Carlos
http://www.wikidata.org/entity/Q782783,Memorial de Guerra Australià
http://www.wikidata.org/entity/Q5935366,Museu d'Art de Columbus
http://www.wikidata.org/entity/Q6088683,Museu de Zoologia d'Istanbul
http://www.wikidata.org/entity/Q5161648,Saló de la Fama de les Dones de Connecticut
http://www.wikidata.org/entity/Q897468,Fortalesa de Monostor
http://www.wikidata.org/entity/Q233098,Museu d'història natural de Berlín
http://www.wikidata.org/entity/Q11795583,Saló de la Fama de les Dones d'Ohio
http://www.wikidata.org/entity/Q12110695,Galeria Courtauld
http://www.wikidata.org/entity/Q5148987,Saló de la Fama de les Dones de Colorado
http://www.wikidata.org/entity/Q10886452,Museu d'Art He Xiangning
http://www.wikidata.org/entity/Q758657,Museu Memorial de Guerra d'Auckland
http://www.wikidata.org/entity/Q59832274,California Library Hall of Fame
http://www.wikidata.org/entity/Q1093313,Ciutadella del Quebec
http://www.wikidata.org/entity/Q525981,Biblioteca i museu presidencial Harry S. Truman
