item	label
http://www.wikidata.org/entity/Q82748	Musée Bossuet
http://www.wikidata.org/entity/Q261233	Museu del Novecento
http://www.wikidata.org/entity/Q367840	Biblioteca de la universitat de Sydney
http://www.wikidata.org/entity/Q616272	Biblioteca de Xangai
http://www.wikidata.org/entity/Q638395	Biblioteca de la Universitat de Leiden
http://www.wikidata.org/entity/Q377579	Museu d'Art de Baltimore
http://www.wikidata.org/entity/Q48656	Berlinka
http://www.wikidata.org/entity/Q537	Waldemarsudde
http://www.wikidata.org/entity/Q63751	Rubin Museum of Art
http://www.wikidata.org/entity/Q10700	Germania Judaica
http://www.wikidata.org/entity/Q59435	Museu Leopold
http://www.wikidata.org/entity/Q8330	Musée d'art contemporain de Lyon
http://www.wikidata.org/entity/Q877567	Museum für Angewandte Kunst Köln
http://www.wikidata.org/entity/Q1362629	Museu Nacional d'Art Occidental
http://www.wikidata.org/entity/Q878754	Museu Santa Anna
http://www.wikidata.org/entity/Q6943568	Musée Grévin – Forum des Halles
http://www.wikidata.org/entity/Q318289	Fundació Abegg
http://www.wikidata.org/entity/Q321716	Kunsthalle Bielefeld
http://www.wikidata.org/entity/Q874724	Kurpfälzisches Museum
http://www.wikidata.org/entity/Q1054169	Centre Pompidou-Metz
http://www.wikidata.org/entity/Q1054339	Modern Art Center José de Azeredo Perdigão
http://www.wikidata.org/entity/Q1368166	Museu d'art de San Diego
http://www.wikidata.org/entity/Q83013	Musée des beaux-arts de Marseille
http://www.wikidata.org/entity/Q472706	Galerie Neue Meister
http://www.wikidata.org/entity/Q873107	Schlossmuseum Rohrau
http://www.wikidata.org/entity/Q93691	Contemporary Arts Museum Houston
http://www.wikidata.org/entity/Q428765	Museu de Belles Arts de Nancy
http://www.wikidata.org/entity/Q46812	National Museum of African Art
http://www.wikidata.org/entity/Q865736	Museu d'Art de Birmingham
http://www.wikidata.org/entity/Q1439912	Museu Pius-Clementí
http://www.wikidata.org/entity/Q1535963	Musée des Beaux-Arts de Strasbourg
http://www.wikidata.org/entity/Q1505892	Rijksmuseum Twenthe
http://www.wikidata.org/entity/Q1586957	Lady Lever Art Gallery
