order	rank	section	wd_q_id	lang
0	1	موقعه	Q1949998	ar
0	2	التأسيس	Q1949998	ar
1	1	المجموعة	Q1949998	ar
1	2	العمارة	Q1949998	ar
2	1	أهداف المتحف	Q1949998	ar
2	2	الهندسة المعمارية	Q1949998	ar
3	1	مجموعات المتحف	Q1949998	ar
3	2	معارض	Q1949998	ar
0	1	تاريخ المكتبة	Q630893	ar
0	2	التأسيس	Q630893	ar
1	1	أهداف المكتبة	Q630893	ar
1	2	المكتبة	Q630893	ar
2	1	أقسامها	Q630893	ar
2	2	الإفتتاح	Q630893	ar
3	1	انظر ايضاً	Q630893	ar
3	2	الخدمات	Q630893	ar
4	1	الفن المعاصر	Q630893	ar
4	2	المنشأت	Q630893	ar
0	1	موقعه	Q1068063	ar
0	2	التأسيس	Q1068063	ar
1	1	المجموعة	Q1068063	ar
1	2	العمارة	Q1068063	ar
2	1	أهداف المتحف	Q1068063	ar
2	2	الهندسة المعمارية	Q1068063	ar
3	1	مجموعات المتحف	Q1068063	ar
3	2	معارض	Q1068063	ar
0	1	تاريخ المكتبة	Q639791	ar
0	2	التأسيس	Q639791	ar
1	1	أهداف المكتبة	Q639791	ar
1	2	المكتبة	Q639791	ar
2	1	أقسامها	Q639791	ar
2	2	الإفتتاح	Q639791	ar
3	1	انظر ايضاً	Q639791	ar
3	2	الخدمات	Q639791	ar
4	1	الفن المعاصر	Q639791	ar
4	2	المنشأت	Q639791	ar
0	1	تاريخ المكتبة	Q1125633	ar
0	2	التأسيس	Q1125633	ar
1	1	أهداف المكتبة	Q1125633	ar
1	2	المكتبة	Q1125633	ar
2	1	أقسامها	Q1125633	ar
2	2	الإفتتاح	Q1125633	ar
3	1	انظر ايضاً	Q1125633	ar
3	2	الخدمات	Q1125633	ar
4	1	الفن المعاصر	Q1125633	ar
4	2	المنشأت	Q1125633	ar
0	1	تاريخ المكتبة	Q1133733	ar
0	2	التأسيس	Q1133733	ar
1	1	أهداف المكتبة	Q1133733	ar
1	2	المكتبة	Q1133733	ar
2	1	أقسامها	Q1133733	ar
2	2	الإفتتاح	Q1133733	ar
3	1	انظر ايضاً	Q1133733	ar
3	2	الخدمات	Q1133733	ar
4	1	الفن المعاصر	Q1133733	ar
4	2	المنشأت	Q1133733	ar
0	1	موقعه	Q1967614	ar
0	2	التأسيس	Q1967614	ar
1	1	المجموعة	Q1967614	ar
1	2	العمارة	Q1967614	ar
2	1	أهداف المتحف	Q1967614	ar
2	2	الهندسة المعمارية	Q1967614	ar
3	1	مجموعات المتحف	Q1967614	ar
3	2	معارض	Q1967614	ar
0	1	موقعه	Q1948674	ar
0	2	التأسيس	Q1948674	ar
1	1	المجموعة	Q1948674	ar
1	2	العمارة	Q1948674	ar
2	1	أهداف المتحف	Q1948674	ar
2	2	الهندسة المعمارية	Q1948674	ar
3	1	مجموعات المتحف	Q1948674	ar
3	2	معارض	Q1948674	ar
0	1	تاريخ المكتبة	Q616272	ar
0	2	التأسيس	Q616272	ar
1	1	أهداف المكتبة	Q616272	ar
1	2	المكتبة	Q616272	ar
2	1	أقسامها	Q616272	ar
2	2	الإفتتاح	Q616272	ar
3	1	انظر ايضاً	Q616272	ar
3	2	الخدمات	Q616272	ar
4	1	الفن المعاصر	Q616272	ar
4	2	المنشأت	Q616272	ar
0	1	موقعه	Q1117704	ar
0	2	التأسيس	Q1117704	ar
1	1	المجموعة	Q1117704	ar
1	2	العمارة	Q1117704	ar
2	1	أهداف المتحف	Q1117704	ar
2	2	الهندسة المعمارية	Q1117704	ar
3	1	مجموعات المتحف	Q1117704	ar
3	2	معارض	Q1117704	ar
0	1	موقعه	Q3137182	ar
0	2	التأسيس	Q3137182	ar
1	1	المجموعة	Q3137182	ar
1	2	العمارة	Q3137182	ar
2	1	أهداف المتحف	Q3137182	ar
2	2	الهندسة المعمارية	Q3137182	ar
3	1	مجموعات المتحف	Q3137182	ar
3	2	معارض	Q3137182	ar
0	1	تاريخ المكتبة	Q2451336	ar
0	2	التأسيس	Q2451336	ar
1	1	أهداف المكتبة	Q2451336	ar
1	2	المكتبة	Q2451336	ar
2	1	أقسامها	Q2451336	ar
2	2	الإفتتاح	Q2451336	ar
3	1	انظر ايضاً	Q2451336	ar
3	2	الخدمات	Q2451336	ar
4	1	الفن المعاصر	Q2451336	ar
4	2	المنشأت	Q2451336	ar
0	1	موقعه	Q1134646	ar
0	2	التأسيس	Q1134646	ar
1	1	المجموعة	Q1134646	ar
1	2	العمارة	Q1134646	ar
2	1	أهداف المتحف	Q1134646	ar
2	2	الهندسة المعمارية	Q1134646	ar
3	1	مجموعات المتحف	Q1134646	ar
3	2	معارض	Q1134646	ar
0	1	تاريخ المكتبة	Q631375	ar
0	2	التأسيس	Q631375	ar
1	1	أهداف المكتبة	Q631375	ar
1	2	المكتبة	Q631375	ar
2	1	أقسامها	Q631375	ar
2	2	الإفتتاح	Q631375	ar
3	1	انظر ايضاً	Q631375	ar
3	2	الخدمات	Q631375	ar
4	1	الفن المعاصر	Q631375	ar
4	2	المنشأت	Q631375	ar
0	1	موقعه	Q1192305	ar
0	2	التأسيس	Q1192305	ar
1	1	المجموعة	Q1192305	ar
1	2	العمارة	Q1192305	ar
2	1	أهداف المتحف	Q1192305	ar
2	2	الهندسة المعمارية	Q1192305	ar
3	1	مجموعات المتحف	Q1192305	ar
3	2	معارض	Q1192305	ar
0	1	تاريخ المكتبة	Q1435690	ar
0	2	التأسيس	Q1435690	ar
1	1	أهداف المكتبة	Q1435690	ar
1	2	المكتبة	Q1435690	ar
2	1	أقسامها	Q1435690	ar
2	2	الإفتتاح	Q1435690	ar
3	1	انظر ايضاً	Q1435690	ar
3	2	الخدمات	Q1435690	ar
4	1	الفن المعاصر	Q1435690	ar
4	2	المنشأت	Q1435690	ar
0	1	موقعه	Q174274	ar
0	2	التأسيس	Q174274	ar
1	1	المجموعة	Q174274	ar
1	2	العمارة	Q174274	ar
2	1	أهداف المتحف	Q174274	ar
2	2	الهندسة المعمارية	Q174274	ar
3	1	مجموعات المتحف	Q174274	ar
3	2	معارض	Q174274	ar
0	1	تاريخ المكتبة	Q2984686	ar
0	2	التأسيس	Q2984686	ar
1	1	أهداف المكتبة	Q2984686	ar
1	2	المكتبة	Q2984686	ar
2	1	أقسامها	Q2984686	ar
2	2	الإفتتاح	Q2984686	ar
3	1	انظر ايضاً	Q2984686	ar
3	2	الخدمات	Q2984686	ar
4	1	الفن المعاصر	Q2984686	ar
4	2	المنشأت	Q2984686	ar
0	1	موقعه	Q13218762	ar
0	2	التأسيس	Q13218762	ar
1	1	المجموعة	Q13218762	ar
1	2	العمارة	Q13218762	ar
2	1	أهداف المتحف	Q13218762	ar
2	2	الهندسة المعمارية	Q13218762	ar
3	1	مجموعات المتحف	Q13218762	ar
3	2	معارض	Q13218762	ar
0	1	تاريخ المكتبة	Q841507	ar
0	2	التأسيس	Q841507	ar
1	1	أهداف المكتبة	Q841507	ar
1	2	المكتبة	Q841507	ar
2	1	أقسامها	Q841507	ar
2	2	الإفتتاح	Q841507	ar
3	1	انظر ايضاً	Q841507	ar
3	2	الخدمات	Q841507	ar
